Here ^rn+pl+++=Here,
3103 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(169)
169 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Pharmacologically ^np+++??+=Pharmacologically
or ^cc++++=or
genetically ^rb++++=genetically
targeting ^jj+atrb++??+=targeting
Ezh2 ^np+++??+=EZH2
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
inhibit ^vbi++++=inhibit
tumor ^nn+++??+=tumor
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
therapeutic ^jj+atrb+++=therapeutic
resistance ^nn++++=resistance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
metastases ^nns+++??+=metastases
with ^in++++=with
different ^jj+atrb+++=different
efficacies ^nns+++??+=efficacies
in ^in++++=in
preclinical ^nn+++??+=preclinical
models ^nns++++=models
( ^zz++++=(
Hirukawa ^np++++=Hirukawa
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
27 ^cd++++=27.
. ^zz++++=EXTRAWORD
Hirukawa ^np+++??+=Hirukawa,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
H.w ^np+++??+=H.W.
. ^zz++++=EXTRAWORD
Zuo ^np+++??+=Zuo,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Targeting ^np+++??+=Targeting
Ezh2 ^np+++??+=EZH2
reactivates ^nns+++??+=reactivates
a ^at++++=a
breast ^nn++++=breast
cancer ^nn++++=cancer
subtype ^nn+++??+=subtype-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
anti ^nn+++??+=anti-metastatic
- ^zz++++=EXTRAWORD
metastatic ^nn+++??+=EXTRAWORD
transcriptional ^nn+++??+=transcriptional
program ^nn+++??+=program
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Commun ^np+++??+=Commun.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
9 ^zz++++=9
: ^zz++++=:2547
2547 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(59)
59 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Ku ^np+++??+=Ku
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
39 ^cd++++=39.
. ^zz++++=EXTRAWORD
Ku ^np+++??+=Ku,
, ^zz++++=EXTRAWORD
S.y ^np+++??+=S.Y.
. ^zz++++=EXTRAWORD
Rosario ^np+++??+=Rosario,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Wang ^np+++??+=Wang,
, ^zz++++=EXTRAWORD
Y ^zz++++=Y.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Rb1 ^np+++??+=Rb1
and ^cc++++=and
Trp53 ^np+++??+=Trp53
cooperate ^vb++++=cooperate
to ^to++++=to
suppress ^vbi++++=suppress
prostate ^nn+++??+=prostate
cancer ^nn++++=cancer
lineage ^nn+++??+=lineage
plasticity ^nn++++=plasticity,
, ^zz++++=EXTRAWORD
metastasis ^nns+++??+=metastasis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
antiandrogen ^jj+atrb++??+=antiandrogen
resistance ^nn++++=resistance
Science ^nn++++=Science.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
355 ^cd++++=355
: ^zz++++=:78-83
78 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
83 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(720)
720 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Ma ^npt++++=Ma
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
42 ^cd++++=42.
. ^zz++++=EXTRAWORD
Ma ^npt++++=Ma,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Stratikopoulos ^np+++??+=Stratikopoulos,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
Park ^npl++++=Park,
, ^zz++++=EXTRAWORD
K.s ^np+++??+=K.S.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Discovery ^nn++++=Discovery
of ^in++++=of
a ^at++++=a
first ^od++++=first-in-class
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
Ezh2 ^np+++??+=EZH2
selective ^jj+atrb+++=selective
degrader ^nn+++??+=degrader
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Chem ^np+++??+=Chem.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
16 ^cd++++=16
: ^zz++++=:214-222
214 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
222 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(150)
150 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Zhang ^np+++??+=Zhang
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
60 ^cd++++=60.
. ^zz++++=EXTRAWORD
Zhang ^np+++??+=Zhang,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Wei ^np+++??+=Wei,
, ^zz++++=EXTRAWORD
Y ^zz++++=Y.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Blocking ^nvbg+++xvbg+=Blocking
immunosuppressive ^nn+++??+=immunosuppressive
neutrophils ^nns+++??+=neutrophils
deters ^nns+++??+=deters
py696 ^nn+++??+=pY696-EZH2-driven
- ^zz++++=EXTRAWORD
ezh2 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
brain ^nn++++=brain
metastases ^nns+++??+=metastases
Sci ^np+++??+=Sci.
. ^zz++++=EXTRAWORD
Transl ^np+++??+=Transl.
. ^zz++++=EXTRAWORD
Med ^np+++??+=Med.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
12 ^cd++++=12
: ^zz++++=:5387
5387 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(64)
64 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
in ^in++++=in
our ^pp$+pp1+++=our
models ^nns++++=models,
, ^zz++++=EXTRAWORD
Ezh2 ^np+++??+=EZH2
inhibition ^nn++++=inhibition
could ^md+pos+++=could
not ^xnot++not++=not
suppress ^vb++++=suppress
the ^ati++++=the
cell ^nn++++=cell
growth ^nn++++=growth
in ^in++++=in
vitro ^nn+++??+=vitro
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
primary ^jj+atrb+++=primary
injection ^nn++++=injection
site ^nn++++=site,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
both ^abx++++=both
the ^ati++++=the
transient ^jj+atrb+++=transient
treatment ^nn++++=treatment
of ^in++++=of
Ezh2 ^np+++??+=EZH2
inhibitor ^nn++++=inhibitor
or ^cc++++=or
inducible ^nn+++??+=inducible
knockdown ^nn+++??+=knockdown
of ^in++++=of
Ezh2 ^np+++??+=EZH2
in ^in++++=in
cancer ^nn++++=cancer
cells ^nns++++=cells
dramatically ^rb++++=dramatically
decreased ^vbd+++xvbn+=decreased
secondary ^jj+atrb+++=secondary
metastasis ^nns+++??+=metastasis,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
targeting ^nn+++??+=targeting
Ezh2 ^np+++??+=EZH2
may ^md+pos+++=may
block ^vb++++=block
the ^ati++++=the
metastatic ^nn++++=metastatic
spread ^vpsv++agls+xvbn+=spread
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
tumor ^nn++++=tumor
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
