Raw ^jj+atrb+++=Raw
. ^zz++++=EXTRAWORD
Warren ^np++++=Warren,
, ^zz++++=EXTRAWORD
S.c ^np+++??+=S.C.
. ^zz++++=EXTRAWORD
Nobis ^np+++??+=Nobis,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Magenau ^np+++??+=Magenau,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Removing ^jj+atrb++xvbg+=Removing
physiological ^jj+atrb+++=physiological
motion ^nn++++=motion
from ^in++++=from
intravital ^nn+++??+=intravital
and ^cc++++=and
clinical ^jj+atrb+++=clinical
functional ^jj+atrb+++=functional
imaging ^nn+++??+=imaging
data ^nns++++=data
elife ^nn+++??+=eLife.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
7 ^zz++++=7
: ^zz++++=:e35800
e35800 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(38)
38 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
dimensional ^nn+++??+=dimensional
sample ^nn++++=sample
motion ^nn++++=motion
within ^in++++=within
each ^dt++++=each
stack ^nn++++=stack
relative ^nn++++=relative
to ^in++++=to
a ^at++++=a
reference ^nn++++=reference
stack ^nn++++=stack
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
series ^nn++++=series
was ^vbd+bedz+aux++=was
estimated ^vpsv++agls+xvbnx+=estimated
using ^vbg+++xvbg+=using
an ^at++++=an
approach ^nn++++=approach
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
Lucas ^np++++=Lucas-Kanade
- ^zz++++=EXTRAWORD
kanade ^nn+++??+=EXTRAWORD
framework ^nn++++=framework
( ^zz++++=(
Baker ^np++++=Baker
and ^cc++++=and
Matthews ^np++++=Matthews,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
6 ^zz++++=6.
. ^zz++++=EXTRAWORD
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Matthews ^np++++=Matthews,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Lucas ^np++++=Lucas-Kanade
- ^zz++++=EXTRAWORD
kanade ^nn+++??+=EXTRAWORD
20 ^cd++++=20
Years ^nns++++=Years
On ^in+strn+++=On:
: ^zz++++=EXTRAWORD
A ^at++++=A
Unifying ^np+++??+=Unifying
Framework ^nn++++=Framework
International ^jj+atrb+++=International
Journal ^nn++++=Journal
of ^in++++=of
Computer ^nn++++=Computer
Vision ^nn++++=Vision.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
56 ^cd++++=56
: ^zz++++=:221-225
221 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
225 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(2432)
2432 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
the ^ati++++=the
microscope ^nn++++=microscope
scan ^nn+++??+=scan
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
The ^ati++++=The
displacement ^nn++++=displacement
at ^in++++=at
500 ^cd++++=500
reference ^nn++++=reference
points ^nns++++=points
evenly ^rb++++=evenly
spaced ^vwbn+++xvbn+=spaced
through ^in++++=through
the ^ati++++=the
data ^nns++++=data
was ^vbd+bedz+vrb++=was
iteratively ^jj+++??+=iteratively
refined ^jj+++xvbn+=refined
using ^jj+++xvbg+=using
a ^at++++=a
trust ^nn++++=trust-region
- ^zz++++=EXTRAWORD
region ^nn++++=EXTRAWORD
algorithm ^nn+++??+=algorithm,
, ^zz++++=EXTRAWORD
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
difference ^nn++++=difference
between ^in++++=between
the ^ati++++=the
current ^nn++++=current
and ^cc++++=and
reference ^nn++++=reference
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
For ^in++++=For
alignment ^nn++++=alignment,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
stationary ^jj+atrb+++=stationary
Shg ^np+++??+=SHG
or ^cc++++=or
far ^rb+pl+++=far-red
- ^zz++++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
channels ^nns++++=channels
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
in ^in++++=in
each ^ppls++++=each
channel ^npl++++=channel
was ^vbd+bedz+vrb++=was
resampled ^nn+++??+=resampled
correcting ^vwbg+++xvbg+=correcting
for ^in++++=for
the ^ati++++=the
motion ^nn++++=motion
to ^to++++=to
produce ^vbi++++=produce
a ^at++++=a
time ^nn++++=time
series ^nn++++=series
aligned ^vwbn+++xvbn+=aligned
with ^in++++=with
the ^ati++++=the
reference ^nn++++=reference
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
Large ^jj+atrb+++=Large
volume ^nn++++=volume
datasets ^nns+++??+=datasets
were ^vbd+bed+aux++=were
broken ^vpsv++agls+xvbnx+=broken
up ^rp++++=up
into ^in++++=into
smaller ^jjr+atrb+++=smaller
files ^nns++++=files
and ^cc++++=and
analyzed ^nn+++??+=analyzed
separately ^rb++++=separately
and ^cc+phrs+++=and
subsequently ^rb+tm+++=subsequently
reassembled ^xvbn+++xvbn+=reassembled.
. ^zz++++=EXTRAWORD
Cell ^nn++++=Cell
fate ^nn++++=fate
mapping ^nn++++=mapping
trees ^nns++++=trees
were ^vbd+bed+aux++=were
generated ^vpsv++by+xvbnx+=generated
by ^in++++=by
a ^at++++=a
blinded ^jj+atrb++xvbn+=blinded
observer ^nn++++=observer
manually ^rb++++=manually
tracking ^vbg+++xvbg+=tracking
each ^dt++++=each
cell ^nn++++=cell
frame ^nn++++=frame-by-frame,
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
frame ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
movies ^nns++++=movies.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
cell ^nn++++=cell
fate ^nn++++=fate
mapping ^nn++++=mapping
trees ^nns++++=trees
allowed ^vwbn+++xvbn+=allowed
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
fission ^nn++++=fission
and ^cc++++=and
fusion ^nn++++=fusion
events ^nns++++=events
( ^zz++++=(/h)
and ^cc++++=and
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
cells ^nns++++=cells
undergoing ^vwbg+++xvbg+=undergoing
fission ^nn++++=fission
or ^cc++++=or
fusion ^nn++++=fusion
events ^nns++++=events
( ^zz++++=(%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
treatment ^nn++++=treatment
group ^nn++++=group
to ^to++++=to
be ^vbi+vbi+aux++=be
measured ^vpsv++agls+xvbnx+=measured.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time-lapse
- ^zz++++=EXTRAWORD
lapse ^nn++++=EXTRAWORD
images ^nns++++=images
were ^vbd+bed+aux++=were
exported ^vpsv++agls+xvbnx+=exported,
, ^zz++++=EXTRAWORD
compiled ^xvbn+++xvbn+=compiled
and ^cc++++=and
annotated ^jj++++=annotated
in ^in++++=in
Aftereffects ^np+++??+=AfterEffects
( ^zz++++=(Adobe),
adobe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
movies ^nns++++=movies
converted ^vbd+++xvbn+=converted
using ^vbg+++xvbg+=using
Macx ^np+++??+=MacX
Video ^np+++??+=Video
Converter ^nn++++=Converter
Pro ^&fw++++=Pro
v6.0.2 ^nn+++??+=v6.0.2,
, ^zz++++=EXTRAWORD
( ^zz++++=(Digiarty
digiarty ^nn+++??+=EXTRAWORD
Software ^np+++??+=Software).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
static ^jj+atrb+++=static
data ^nns++++=data
generation ^nn++++=generation,
, ^zz++++=EXTRAWORD
each ^dt++++=each
image ^nn++++=image
analyzed ^nn+++??+=analyzed
was ^vbd+bedz+vrb++=was
from ^in++++=from
an ^at++++=an
individual ^jj+atrb+++=individual
mouse ^nn++++=mouse.
. ^zz++++=EXTRAWORD
Surfaces ^nns++++=Surfaces
generated ^vbd+++xvbn+=generated
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
red ^jj+atrb+++=red
signal ^nn++++=signal
in ^in++++=in
cells ^nns++++=cells
that ^tht+rel+obj++=that
co ^nn++++=co-express
- ^zz++++=EXTRAWORD
express ^jjb++++=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
green ^nn++++=green
and ^cc++++=and
Osteosense ^np+++??+=OsteoSense
680 ^cd++++=680
in ^in++++=in
a ^at++++=a
semi ^nn+++??+=semi-automated
- ^zz++++=EXTRAWORD
automated ^nn+++??+=EXTRAWORD
manner ^nn++++=manner
using ^vwbg+++xvbg+=using
the ^ati++++=the
Create ^vb++++=Create
Surface ^nn++++=Surface
function ^nn++++=function
in ^in++++=in
Imaris ^np+++??+=Imaris,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
supervision ^nn++++=supervision
of ^in++++=of
a ^at++++=a
blinded ^jj+atrb++xvbn+=blinded
observer ^nn++++=observer,
, ^zz++++=EXTRAWORD
to ^in++++=to
quantify ^nn+++??+=quantify
their ^pp$+pp3+++=their
sphericity ^nn+++??+=sphericity
and ^cc++++=and
volume ^nn++++=volume.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
exported ^vpsv++agls+xvbnx+=exported
into ^in++++=into
R ^zz++++=R
and ^cc++++=and
the ^ati++++=the
Mass ^nn++++=MASS
package ^nn++++=package
( ^zz++++=(
Venables ^np++++=Venables
and ^cc++++=and
Ripley ^np+++??+=Ripley,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
73 ^cd++++=73.
. ^zz++++=EXTRAWORD
Venables ^np+++??+=Venables,
, ^zz++++=EXTRAWORD
W.n ^np+++??+=W.N.
. ^zz++++=EXTRAWORD
Ripley ^np+++??+=Ripley,
, ^zz++++=EXTRAWORD
B.d ^np+++??+=B.D.
. ^zz++++=EXTRAWORD
Modern ^jj+atrb+++=Modern
applied ^jj+atrb++xvbn+=applied
statistics ^nns++++=statistics
with ^in++++=with
S ^zz++++=S-PLUS
- ^zz++++=EXTRAWORD
plus ^in++++=EXTRAWORD
Springer ^np+++??+=Springer
Science ^nn++++=Science
& ^zz++++=&
Business ^nn++++=Business
Media ^nns++++=Media,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
calculate ^vb++++=calculate
the ^ati++++=the
2d ^cd++++=2D
kernel ^nn++++=kernel
density ^nn++++=density
estimation ^nn++++=estimation,
, ^zz++++=EXTRAWORD
data ^nns++++=data
visualized ^vbd+++xvbn+=visualized
using ^vbg+++xvbg+=using
the ^ati++++=the
ggplot2 ^nn+++??+=ggplot2
package ^nn++++=package
( ^zz++++=(
Wickham ^np++++=Wickham,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
77 ^cd++++=77.
. ^zz++++=EXTRAWORD
Wickham ^np+++??+=Wickham,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
ggplot2 ^nn+++??+=ggplot2:
: ^zz++++=EXTRAWORD
elegant ^jj+atrb+++=elegant
graphics ^nns+++??+=graphics
for ^in++++=for
data ^nns++++=data
analysis ^nn++++=analysis
Springer ^np+++??+=Springer,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
Crossref ^np+++??+=Crossref
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
in ^in++++=in
R ^zz++++=R.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Filamenttracer ^np+++??+=FilamentTracer
module ^nn+++??+=module
in ^in++++=in
Imaris ^np+++??+=Imaris
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^in++++=to
quantify ^nn+++??+=quantify
observable ^jj+atrb+++=observable
cell ^nn++++=cell
processes ^nns++++=processes
and ^cc++++=and
networks ^nns++++=networks
formed ^vwbn+++xvbn+=formed
by ^in++++=by
cell ^nn++++=cell-cell
- ^zz++++=EXTRAWORD
cell ^nn++++=EXTRAWORD
contracts ^nns++++=contracts
with ^in++++=with
neighboring ^jj+atrb+++=neighboring
cells ^nns++++=cells.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
this ^dt+dem+++=this
tool ^nn++++=tool
may ^md+pos+++=may
include ^vb++++=include
migrating ^jj+atrb+++=migrating
cells ^nns++++=cells
in ^in++++=in
a ^at++++=a
network ^nn++++=network
with ^in++++=with
osteoclasts ^nns+++??+=osteoclasts,
, ^zz++++=EXTRAWORD
direct ^jj+atrb+++=direct
examination ^nn++++=examination
showed ^vbd+vprv+tht0+xvbn+=showed
these ^dt+dem+++=these
events ^nns++++=events
were ^vbd+bed+vrb++=were
rare ^jj+atrb+++=rare
relative ^nn++++=relative
to ^in++++=to
the ^ati++++=the
scale ^nn++++=scale
of ^in++++=of
the ^ati++++=the
networks ^nns++++=networks
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
the ^ati++++=the
overall ^jjb+atrb+++=overall
result ^nn++++=result.
. ^zz++++=EXTRAWORD
Contacts ^nns++++=Contacts
between ^in++++=between
Lysm ^np+++??+=LYSM
+ ^zz++++=+
mononuclear ^nn+++??+=mononuclear/macrophage
cells ^nns++++=cells
and ^cc++++=and
Lysm ^np+++??+=LYSM
+ ^zz++++=+
Csf1r ^np+++??+=CSF1R
+ ^zz++++=+
osteoclasts ^nns+++??+=osteoclasts
were ^vbd+bed+vrb++=were
manually ^rb++++=manually
tracked ^nn++++=tracked
through ^in++++=through
individual ^jj+atrb+++=individual
frames ^nns++++=frames
by ^in++++=by
a ^at++++=a
blinded ^vpsv++agls+xvbn+=blinded
observer ^nn++++=observer.
. ^zz++++=EXTRAWORD
