Since ^cs+sub+++=Since
of ^in++++=of
the ^ati++++=the
healthy ^jj+atrb+++=healthy
human ^jj+atrb+++=human
microbiome ^nn+++??+=microbiome
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
486 ^cd++++=486
: ^zz++++=:207-214
207 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
214 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(6330)
6330 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
Mash ^np+++??+=MASH
to ^to++++=to
perform ^vbi++++=perform
a ^at++++=a
k ^zz++++=k-mer-based
- ^zz++++=EXTRAWORD
mer ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
comparison ^nn++++=comparison
of ^in++++=of
our ^pp$+pp1+++=our
samples ^nns++++=samples
versus ^in++++=versus
the ^ati++++=the
selected ^jj+++xvbn+=selected
Hmp ^np+++??+=HMP
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
roughly ^rb+down+++=roughly
uniform ^jj+atrb+++=uniform
dissimilarity ^nn++++=dissimilarity
between ^in++++=between
Metasub ^np+++??+=MetaSUB
samples ^nns++++=samples
and ^cc++++=and
those ^dt+dem+++=those
from ^in++++=from
different ^jj+atrb+++=different
human ^jj+atrb+++=human
body ^nn++++=body
sites ^nns++++=sites
( ^zz++++=(
Figures ^np++++=Figures
1 ^zz++++=1
E ^zz++++=E
and ^cc++++=and
S1 ^np+++??+=S1
A ^at++++=A).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
taken ^vwbn+++xvbn+=taken
from ^in++++=from
surfaces ^nns++++=surfaces
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
touched ^vpsv++agls+xvbnx+=touched
more ^rbr++++=more
often ^rb++++=often
by ^in++++=by
human ^jj+atrb+++=human
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
doorknobs ^nns++++=doorknobs,
, ^zz++++=EXTRAWORD
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
railings ^nns++++=railings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
touchscreens ^nns+++??+=touchscreens,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
indeed ^rb++++=indeed
more ^rbr++++=more
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
human ^jj+atrb+++=human
skin ^nn++++=skin
microbiomes ^nns+++??+=microbiomes
than ^in++++=than
surfaces ^nns++++=surfaces
like ^in++++=like
bollards ^nns+++??+=bollards,
, ^zz++++=EXTRAWORD
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
doorknobs ^nns++++=doorknobs
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
more ^rbr++++=more
similar ^jj++++=similar
to ^in++++=to
skin ^nn++++=skin
than ^in++++=than
windows ^nns++++=windows
( ^zz++++=(t
t ^zz++++=EXTRAWORD
test ^nn++++=test,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
2e ^cd++++=2e-16).
- ^zz++++=EXTRAWORD
16). ^nn+date+++=EXTRAWORD
