Having ^xvbg+++xvbg+=Having
were ^vbd+bed+aux++=were
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
Frap ^np+++??+=FRAP,
, ^zz++++=EXTRAWORD
negligible ^jj+atrb+++=negligible
recovery ^nn++++=recovery
of ^in++++=of
the ^ati++++=the
bleached ^jj+atrb++xvbn+=bleached
regions ^nns++++=regions
occurred ^vbd+++xvbn+=occurred
over ^in++++=over
a ^at++++=a
30 ^cd++++=30-min
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(
Figures ^np++++=Figures
4 ^zz++++=4
A ^at++++=A
and ^cc++++=and
4b ^cd++++=4B;
; ^zz++++=EXTRAWORD
Video ^np+++??+=Video
S3 ^np+++??+=S3
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
recovery ^nn++++=recovery
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
zero ^cd++++=zero,
, ^zz++++=EXTRAWORD
the ^ati++++=the
measured ^jj+atrb++xvbn+=measured
intensity ^nn++++=intensity
did ^vbd+dod+aux++=did
show ^vb+vprv+++=show
a ^at++++=a
small ^jj++++=small
but ^cc++++=but
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
increase ^nn++++=increase
at ^rb++++=at
the ^ati++++=the
30 ^cd++++=30-min
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
time ^nn++++=time
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
rule ^vb++++=rule
out ^rp+pl+++=out
that ^dt+dem+++=that
acetylated ^nn+++??+=acetylated
chromatin ^nn+++??+=chromatin
is ^vbz+bez+vrb++=is
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
undergo ^vb++++=undergo
slow ^jj++++=slow
and ^cc+phrs+++=and
limited ^jj+atrb++xvbn+=limited
mixing ^nvbg+++xvbg+=mixing,
, ^zz++++=EXTRAWORD
even ^rb++++=even
fixed ^xvbn+++xvbn+=fixed
specimens ^nns++++=specimens
show ^vb+vprv+++=show
slight ^jj+atrb+++=slight
differences ^nns++++=differences
in ^in++++=in
intensity ^nn++++=intensity
( ^zz++++=(
Figure ^np++++=Figure
S3 ^np+++??+=S3
D ^zz++++=D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
reflects ^vbz++++=reflects
small ^jj+atrb+++=small
changes ^nns++++=changes
in ^in++++=in
z ^zz++++=z-positioning
- ^zz++++=EXTRAWORD
positioning ^nn++++=EXTRAWORD
because ^cs+cos+++=because
of ^in++++=of
thermal ^jj+atrb+++=thermal
fluctuations ^nns++++=fluctuations.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
living ^xvbg+++xvbg+=living
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
dynamics ^nn++++=dynamics
taking ^vwbg+++xvbg+=taking
place ^nn++++=place
over ^in++++=over
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
30 ^cd++++=30
min ^nnu++++=min
in ^in++++=in
a ^at++++=a
living ^jj+atrb++xvbg+=living
cell ^nn++++=cell
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
these ^dt+dem+++=these
small ^jj+atrb+++=small
changes ^nns++++=changes
in ^in++++=in
fluorescence ^nn++++=fluorescence.
. ^zz++++=EXTRAWORD
