Bhk ^np+++??+=BHK-21
gibco ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
125 ^cd++++=125
rpm ^nn+++??+=rpm
37 ^cd++++=37
C ^zz++++=C
in ^in++++=in
a ^at++++=a
humidified ^nn+++??+=humidified
atmosphere ^nn++++=atmosphere
of ^in++++=of
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
Co ^nn++++=CO
2 ^zz++++=2
. ^zz++++=.
Expi293f ^np+++??+=Expi293F
cells ^nns++++=cells
were ^vbd+bed+vrb++=were
authenticated ^nn+++??+=authenticated
by ^in++++=by
the ^ati++++=the
Atcc ^np+++??+=ATCC
cell ^nn++++=cell
line ^nn++++=line
authentication ^nn+++??+=authentication
service ^nn++++=service
using ^vwbg+++xvbg+=using
Short ^jj+atrb+++=Short
Tandem ^np+++??+=Tandem
Repeat ^vb++++=Repeat
( ^zz++++=(STR)
str ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Cells ^nns++++=Cells
were ^vbd+bed+aux++=were
checked ^vpsv++agls+xvbnx+=checked
routinely ^nn+++??+=routinely
for ^in++++=for
mycoplasma ^nn+++??+=mycoplasma
detection ^nn++++=detection
using ^vbg+++xvbg+=using
a ^at++++=a
universal ^nn++++=universal
mycoplasma ^nn++++=mycoplasma
detection ^nn++++=detection
kit ^nn++++=kit
( ^zz++++=(ATCC).
atcc ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
