Because ^cs+cos+++=Because
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
thalamus ^nns+++??+=thalamus
( ^zz++++=(
Figures ^np++++=Figures
S1 ^np+++??+=S1
B ^zz++++=B
S1f ^np+++??+=S1F).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
also ^rb++++=also
moderate ^jj+pred+++=moderate
to ^in++++=to
sparse ^nn+++??+=sparse
fibers ^nns+++??+=fibers
in ^in++++=in
forebrain ^nn+++??+=forebrain
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
striatum ^nn+++??+=striatum,
, ^zz++++=EXTRAWORD
parasubthalamic ^nn+++??+=parasubthalamic
nucleus ^nn++++=nucleus,
, ^zz++++=EXTRAWORD
amygdala ^nn+++??+=amygdala,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
posterior ^jj+atrb+++=posterior
ic ^np++++=IC
( ^zz++++=(
figures ^nns++++=Figures
s1 ^np++++=S1
g ^zz++++=G
s1k ^np++++=S1K).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
