Raw ^jj+atrb+++=Raw
Kr ^np+++??+=KR
normalized ^nn+++??+=normalized
chi ^np++++=cHi-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
maps ^nns++++=maps
( ^zz++++=(
Knight ^np++++=Knight
and ^cc++++=and
Ruiz ^np+++??+=Ruiz,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
70 ^cd++++=70.
. ^zz++++=EXTRAWORD
Knight ^nn++++=Knight,
, ^zz++++=EXTRAWORD
P.a ^nnu++++=P.A.
. ^zz++++=EXTRAWORD
Ruiz ^np+++??+=Ruiz,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
A ^at++++=A
fast ^rb++++=fast
algorithm ^nn+++??+=algorithm
for ^in++++=for
matrix ^nn++++=matrix
balancing ^nn++++=balancing
Ima ^np+++??+=IMA
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Numer ^np+++??+=Numer.
. ^zz++++=EXTRAWORD
Anal ^jj++++=Anal.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
33 ^cd++++=33
: ^zz++++=:1029-1047
1029 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1047 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(195)
195 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Rao ^np+++??+=Rao
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
114 ^cd++++=114.
. ^zz++++=EXTRAWORD
Rao ^np+++??+=Rao,
, ^zz++++=EXTRAWORD
S.s ^np++++=S.S.
. ^zz++++=EXTRAWORD
Huntley ^np+++??+=Huntley,
, ^zz++++=EXTRAWORD
M.h ^np+++??+=M.H.
. ^zz++++=EXTRAWORD
Durand ^np+++??+=Durand,
, ^zz++++=EXTRAWORD
N.c ^np+++??+=N.C.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
3d ^cd++++=3D
map ^nn++++=map
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
genome ^nn+++??+=genome
at ^rb++++=at
kilobase ^nn+++??+=kilobase
resolution ^nn++++=resolution
reveals ^vbz+vprv+++=reveals
principles ^nns++++=principles
of ^in++++=of
chromatin ^nn+++??+=chromatin
looping ^jj+atrb+++=looping
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
159 ^cd++++=159
: ^zz++++=:1665-1680
1665 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
1680 ^cd+date+++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(3413)
3413 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
were ^vbd+bed+aux++=were
generated ^vpsv++agls+xvbnx+=generated
using ^vbg+++xvbg+=using
Juicer ^np+++??+=Juicer
tools ^nns++++=tools
v1.19.02 ^nn+++??+=v1.19.02
( ^zz++++=(
Durand ^np++++=Durand
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
41 ^cd++++=41.
. ^zz++++=EXTRAWORD
Durand ^np+++??+=Durand,
, ^zz++++=EXTRAWORD
N.c ^np+++??+=N.C.
. ^zz++++=EXTRAWORD
Shamim ^np+++??+=Shamim,
, ^zz++++=EXTRAWORD
M.s ^np+++??+=M.S.
. ^zz++++=EXTRAWORD
Machol ^np+++??+=Machol,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Juicer ^np+++??+=Juicer
provides ^vbz+vsua+++=provides
a ^at++++=a
one ^cd1++++=one-click
- ^zz++++=EXTRAWORD
click ^nn++++=EXTRAWORD
system ^nn++++=system
for ^in++++=for
analyzing ^nn+++??+=analyzing
loop ^nn++++=loop-resolution
- ^zz++++=EXTRAWORD
resolution ^nn++++=EXTRAWORD
Hi ^uh++++=Hi-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
experiments ^nns++++=experiments
Cell ^nn++++=Cell
Syst ^np+++??+=Syst.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
3 ^zz++++=3
: ^zz++++=:95-98
95 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
98 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
read ^vb+vprv++xvbn+=read
pairs ^nns++++=pairs
for ^in++++=for
region ^nn++++=region
chr8:39,030,001 ^nn+++??+=chr8:39,030,001-48,000,000
- ^zz++++=EXTRAWORD
48,000,000 ^cd++++=EXTRAWORD
and ^cc++++=and
with ^in++++=with
Mapq ^np+++??+=MAPQ
30 ^cd++++=30
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
for ^in++++=for
the ^ati++++=the
generation ^nn++++=generation
of ^in++++=of
chi ^np++++=cHi-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
maps ^nns++++=maps.
. ^zz++++=EXTRAWORD
