Raw ^jj+atrb+++=Raw
respective ^jj+atrb+++=respective
reference ^nn++++=reference
genome ^nn+++??+=genome
with ^in++++=with
bowtie2 ^nn+++??+=bowtie2
( ^zz++++=(
Langmead ^np++++=Langmead
and ^cc++++=and
Salzberg ^np+++??+=Salzberg,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
49 ^cd++++=49.
. ^zz++++=EXTRAWORD
Langmead ^np+++??+=Langmead,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Salzberg ^np+++??+=Salzberg,
, ^zz++++=EXTRAWORD
S.l ^np+++??+=S.L.
. ^zz++++=EXTRAWORD
Fast ^jj+atrb+++=Fast
gapped ^nn+++??+=gapped-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
alignment ^nn++++=alignment
with ^in++++=with
Bowtie ^np+++??+=Bowtie
2 ^zz++++=2
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
9 ^zz++++=9
: ^zz++++=:357-359
357 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
359 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(24558)
24558 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
with ^in++++=with
default ^nn+++??+=default
parameters ^nns++++=parameters,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
all ^abn++++=all
read ^vb+vprv+tht0+xvbn+=read
duplicates ^nns++++=duplicates
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
and ^cc++++=and
only ^rb+down+++=only
the ^ati++++=the
single ^jj++++=single
best ^jjt++++=best
matching ^xvbg+++xvbg+=matching
read ^vprf+++xvbn+=read
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
on ^rb+phrv+++=on
the ^ati++++=the
final ^jj+atrb+++=final
alignment ^nn++++=alignment
Bam ^np+++??+=BAM
file ^nn++++=file.
. ^zz++++=EXTRAWORD
Bam ^np+++??+=BAM
files ^nns++++=files
were ^vbd+bed+aux++=were
converted ^vpsv++agls+xvbnx+=converted
into ^in++++=into
Bigwig ^np+++??+=BIGWIG
coverage ^nn++++=coverage
tracks ^nns++++=tracks
using ^vwbg+++xvbg+=using
the ^ati++++=the
bamcompare ^nn+++??+=bamCompare
tool ^nn++++=tool
from ^in++++=from
deeptools ^nns+++??+=deeptools
( ^zz++++=(
Ram ^np++++=Ram
rez ^nn+++??+=rez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
77 ^cd++++=77.
. ^zz++++=EXTRAWORD
Ram ^vb++++=Ram
rez ^nn+++??+=rez,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Ryan ^np+++??+=Ryan,
, ^zz++++=EXTRAWORD
D.p ^np+++??+=D.P.
. ^zz++++=EXTRAWORD
Gr ^np+++??+=Gr
ning ^nn+++??+=ning,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
deeptools2 ^nn+++??+=deepTools2:
: ^zz++++=EXTRAWORD
a ^at++++=a
next ^ap++++=next
generation ^nn++++=generation
web ^nn++++=web
server ^nn++++=server
for ^in++++=for
deep ^jj++++=deep-sequencing
- ^zz++++=EXTRAWORD
sequencing ^nn+++??+=EXTRAWORD
data ^nns++++=data
analysis ^nn++++=analysis
Nucleic ^np+++??+=Nucleic
Acids ^np+++??+=Acids
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
44 ^cd++++=44
: ^zz++++=:W160-W165
w160 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
w165 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(1768)
1768 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
coverage ^nn++++=coverage
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
reads ^nn++++=reads
per ^in++++=per
50 ^cd++++=50-bp
- ^zz++++=EXTRAWORD
bp ^nn+++??+=EXTRAWORD
bin ^&fw++++=bin
and ^cc++++=and
normalized ^nn+++??+=normalized
by ^in++++=by
reads ^vbz++++=reads
per ^nnu++++=per
kilobase ^nn+++??+=kilobase
per ^nnu++++=per
million ^cd++++=million
mapped ^vbd+++xvbn+=mapped
reads ^vbz++++=reads
( ^zz++++=(RPKM).
rpkm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Plots ^nns++++=Plots
of ^in++++=of
detailed ^jj+atrb+++=detailed
chromosome ^nn++++=chromosome
regions ^nns++++=regions
showing ^vwbg+vprv++xvbg+=showing
multiple ^jj++++=multiple
tracks ^vbz++++=tracks
presented ^vbd+++xvbn+=presented
in ^in++++=in
Figures ^nns++++=Figures
4 ^zz++++=4
and ^cc++++=and
6 ^zz++++=6
were ^vbd+bed+aux++=were
done ^vpsv++agls+xvbnx+=done
with ^in++++=with
pygenometracks ^nns+++??+=pyGenomeTracks
( ^zz++++=(
Lopez ^np++++=Lopez-Delisle
- ^zz++++=EXTRAWORD
delisle ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
52 ^cd++++=52.
. ^zz++++=EXTRAWORD
Lopez ^np+++??+=Lopez-Delisle,
- ^zz++++=EXTRAWORD
delisle ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Rabbani ^np+++??+=Rabbani,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Wolff ^np+++??+=Wolff,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
pygenometracks ^nns+++??+=pyGenomeTracks:
: ^zz++++=EXTRAWORD
reproducible ^jj+atrb+++=reproducible
plots ^nns++++=plots
for ^in++++=for
multivariate ^nn+++??+=multivariate
genomic ^nn+++??+=genomic
datasets ^nns+++??+=datasets
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
37 ^cd++++=37
: ^zz++++=:422-423
422 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
423 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np++++=Scopus
 ^zz++++=(49)
9 ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Pubmed ^np++++=PubMed
Google ^np++++=Google
Scholar ^nn++++=Scholar
	 ^zz++++=).
 ^zz++++=EXTRAWORD
