Raw ^jj+atrb+++=Raw
Wysoker ^np+++??+=Wysoker,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...,
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1000 ^cd++++=1000
Genome ^np+++??+=Genome
Project ^nn++++=Project
Data ^nns++++=Data
Processing ^vwbg+++xvbg+=Processing
Subgroup ^np+++??+=Subgroup
The ^ati++++=The
Sequence ^nn++++=Sequence
Alignment ^nn++++=Alignment/Map
format ^nn++++=format
and ^cc++++=and
Samtools ^np+++??+=SAMtools
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
25 ^cd++++=25
: ^zz++++=:2078-2079
2078 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2079 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(30053)
30053 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
for ^in++++=for
filtering ^xvbg+++xvbg+=filtering,
, ^zz++++=EXTRAWORD
sorting ^nvbg+++xvbg+=sorting
and ^cc++++=and
removing ^nvbg+++xvbg+=removing
duplicates ^nns++++=duplicates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deeptools ^nns+++??+=deepTools
( ^zz++++=(
Ram ^np++++=Ram
rez ^nn+++??+=rez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
112 ^cd++++=112.
. ^zz++++=EXTRAWORD
Ram ^vb++++=Ram
rez ^nn+++??+=rez,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Ryan ^np+++??+=Ryan,
, ^zz++++=EXTRAWORD
D.p ^np+++??+=D.P.
. ^zz++++=EXTRAWORD
Gr ^np+++??+=Gr
ning ^nn+++??+=ning,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
deeptools2 ^nn+++??+=deepTools2:
: ^zz++++=EXTRAWORD
a ^at++++=a
next ^ap++++=next
generation ^nn++++=generation
web ^nn++++=web
server ^nn++++=server
for ^in++++=for
deep ^jj++++=deep-sequencing
- ^zz++++=EXTRAWORD
sequencing ^nn+++??+=EXTRAWORD
data ^nns++++=data
analysis ^nn++++=analysis
Nucleic ^np+++??+=Nucleic
Acids ^np+++??+=Acids
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
44 ^cd++++=44
: ^zz++++=:W160-W165
w160 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
w165 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Pubmed ^np++++=PubMed
Google ^np++++=Google
Scholar ^nn++++=Scholar
	 ^zz++++=)
For ^in++++=for
Generating ^nn++++=generating
Coverage ^nn++++=coverage
Tracks ^nns++++=tracks.
 ^zz++++=EXTRAWORD
