Other ^ap++++=Other
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
secondary ^jj+atrb+++=secondary
metabolites ^nns++++=metabolites
in ^in++++=in
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
collection ^nn++++=collection
period ^nn++++=period,
, ^zz++++=EXTRAWORD
rainfall ^nn++++=rainfall,
, ^zz++++=EXTRAWORD
seasonality ^nn+++??+=seasonality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
natural ^jj+atrb+++=natural
predators ^nns++++=predators
( ^zz++++=(Gouvea
gouvea ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
Li ^np+++??+=Li
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Moore ^np++++=Moore
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
variables ^nns++++=variables
may ^md+pos+++=may
explain ^vb+vpub+tht0++=explain
the ^ati++++=the
differences ^nns++++=differences
observed ^vbd+++xvbn+=observed,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
plant ^nn++++=plant
material ^nn++++=material
in ^in++++=in
the ^ati++++=the
referenced ^nn+++??+=referenced
studies ^nns++++=studies
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
different ^jj+atrb+++=different
regions ^nns++++=regions
and ^cc++++=and
at ^in++++=at
different ^jj+atrb+++=different
times ^nns++++=times
compared ^vbd+++xvbn+=compared
to ^to++++=to
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
