Other ^ap++++=Other
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Differently ^rb++++=Differently
of ^in++++=of
our ^pp$+pp1+++=our
study ^nn++++=study,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
authors ^nns++++=authors
did ^vbd+dod+aux++=did
not ^xnot++not++=not
quantify ^vb+++??+=quantify
the ^ati++++=the
compounds ^nns++++=compounds,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
only ^rb+down+++=only
observed ^vbd+vprv++xvbn+=observed
the ^ati++++=the
full ^jj+atrb+++=full
presence ^nn++++=presence
or ^cc++++=or
absence ^nn++++=absence,
, ^zz++++=EXTRAWORD
without ^in++++=without
using ^xvbg+++xvbg+=using
a ^at++++=a
standard ^jj+atrb+++=standard
compound ^nn++++=compound,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
have ^vb+hv+aux++=have
generated ^vprf+++xvbnx+=generated
these ^dt+dem+++=these
different ^jj+atrb+++=different
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
fraction ^nn++++=fraction
of ^in++++=of
ethyl ^nn+++??+=ethyl
acetate ^nn+++??+=acetate.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
working ^nvbg+++xvbg+=working
with ^in++++=with
natural ^jj+atrb+++=natural
products ^nns++++=products
and ^cc++++=and
compounds ^nns++++=compounds,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
must ^md+nec+++=must
take ^vb++++=take
into ^in++++=into
account ^nn++++=account
factors ^nns++++=factors
that ^tht+rel+obj++=that
influence ^nn++++=influence
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
secondary ^jj+atrb+++=secondary
metabolites ^nns++++=metabolites
by ^in++++=by
plant ^nn++++=plant,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
period ^nn++++=period
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
plant ^nn++++=plant
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected,
, ^zz++++=EXTRAWORD
rainfall ^nn++++=rainfall,
, ^zz++++=EXTRAWORD
seasonality ^nn+++??+=seasonality,
, ^zz++++=EXTRAWORD
potential ^jj+atrb+++=potential
natural ^jj+atrb+++=natural
predators ^nns++++=predators,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc
( ^zz++++=(Gouvea
gouvea ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
Li ^np+++??+=Li
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
Moore ^np++++=Moore
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain
these ^dt+dem+++=these
differences ^nns++++=differences
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
those ^dt+dem+++=those
authors ^nns++++=authors
collected ^vwbn+++xvbn+=collected
parts ^nns++++=parts
of ^in++++=of
Schinopsis ^np+++??+=Schinopsis
brasiliensis ^nns+++??+=brasiliensis
in ^in++++=in
another ^dt++++=another
region ^nn++++=region
and ^cc++++=and
another ^dt++++=another
period ^nn++++=period
compared ^vpsv++agls+xvbn+=compared
to ^to++++=to
our ^pp$+pp1+++=our
collection ^nn++++=collection.
. ^zz++++=EXTRAWORD
