Dental ^jj+atrb+++=Dental
showed ^vwbn+vprv++xvbn+=showed
no ^at++++=no
cytotoxicity ^nn+++??+=cytotoxicity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ethanol ^nn+++??+=ethanol
extract ^nn++++=extract
absorbs ^nns+++??+=absorbs
less ^rbr++++=less
heat ^nn++++=heat
than ^in++++=than
the ^ati++++=the
fractions ^nns++++=fractions.
. ^zz++++=EXTRAWORD
All ^abn++++=All
samples ^nns++++=samples
exhibited ^vbd+++xvbn+=exhibited
exothermic ^nn+++??+=exothermic
peak ^nn++++=peak
consistent ^jj++++=consistent
with ^in++++=with
degradation ^nn++++=degradation
of ^in++++=of
gallic ^nn+++??+=gallic
acid ^jj++++=acid.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
results ^nns++++=results,
, ^zz++++=EXTRAWORD
the ^ati++++=the
samples ^nns++++=samples
used ^vwbn+++xvbn+=used
are ^vb+ber+vrb++=are
potential ^jj+atrb+++=potential
candidates ^nns++++=candidates
for ^in++++=for
use ^nn++++=use
in ^in++++=in
dental ^jj+atrb+++=dental
formulations ^nns++++=formulations
for ^in++++=for
biofilm ^nn++++=biofilm
control ^nn++++=control.
. ^zz++++=EXTRAWORD
