Time ^nn++++=Time
physical ^jj+atrb+++=physical
effort ^nn++++=effort
and ^cc++++=and
make ^vb++++=make
you ^pp2+pp2+++=you
breathe ^vb++++=breathe
somewhat ^rb+down+++=somewhat
harder ^jjr++++=harder
than ^in++++=than
normal ^nn++++=normal
. ^zz++++=.
For ^in++++=For
the ^ati++++=the
logistic ^nn+++??+=logistic
models ^nns++++=models,
, ^zz++++=EXTRAWORD
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MPA),
mpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(VPA)
vpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
when ^wrb+who+++=when
self ^nn++++=self-isolating
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
were ^vbd+bed+aux++=were
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
dichotomous ^vbz+++??+=dichotomous
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
Mvpa ^np+++??+=MVPA
and ^cc++++=and
Mpa ^np+++??+=MPA
were ^vbd+bed+vrb++=were
dichotomized ^nn+++??+=dichotomized
into ^in++++=into
1 ^zz++++=1
= ^zz++++==
< ^zz++++=<30
30 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
2 ^zz++++=2
= ^zz++++==
30 ^cd++++=30
minutes ^nns++++=minutes
per ^nnu++++=per
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Vpa ^np+++??+=VPA
was ^vbd+bedz+vrb++=was
dichotomized ^nn+++??+=dichotomized
into ^in++++=into
1 ^zz++++=1
= ^zz++++==
< ^zz++++=<15
15 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
2 ^zz++++=2
= ^zz++++==
15 ^cd++++=15
minutes ^nns++++=minutes
of ^in++++=of
Vpa ^np+++??+=VPA
per ^nnu++++=per
day ^nn++++=day).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
cut ^vbd+++xvbn+=cut-offs
- ^zz++++=EXTRAWORD
offs ^nns+++??+=EXTRAWORD
were ^vbd+bed+aux++=were
chosen ^vpsv++agls+xvbnx+=chosen
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
line ^nn++++=line
with ^in++++=with
the ^ati++++=the
public ^jj+atrb+++=public
health ^nn++++=health
recommendations ^nns++++=recommendations
of ^in++++=of
150 ^cd++++=150
minutes ^nns++++=minutes
of ^in++++=of
Mvpa ^np+++??+=MVPA,
 ^zz++++=EXTRAWORD
Or ^cc+cls+++=or
5 ^cd++++=75
Minutes ^nns++++=minutes
Of ^in++++=of
Vpa ^np++++=VPA
Per ^nnu++++=per
Week22 ^nn++++=week22.
 ^zz++++=EXTRAWORD
