Since ^cs+sub+++=Since
- ^zz++++=EXTRAWORD
cell ^nn++++=EXTRAWORD
datasets ^nns+++??+=datasets,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
interpatient ^jj+atrb+++=interpatient
and ^cc+phrs+++=and
technical ^jj+atrb+++=technical
batch ^nn++++=batch
effects ^nns++++=effects
, ^zz++++=,
and ^cc+cls+++=and
identified ^vbd+++xvbn+=identified
six ^cd++++=six
stromal ^jj+atrb+++=stromal
clusters ^nns+nom+++=clusters.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
endothelial ^jj+atrb+++=endothelial
cells ^nns++++=cells
( ^zz++++=(
Ackr1 ^np++++=ACKR1
Cd34 ^np+++??+=CD34
) ^zz++++=),
, ^zz++++=EXTRAWORD
pericytes ^nns+++??+=pericytes
( ^zz++++=(
Notch3 ^np++++=NOTCH3
Mcam ^np+++??+=MCAM
) ^zz++++=),
, ^zz++++=EXTRAWORD
myofibroblasts ^nns+++??+=myofibroblasts
( ^zz++++=(
Myh11 ^np++++=MYH11
Actg2 ^np+++??+=ACTG2
) ^zz++++=)
and ^cc++++=and
three ^cd++++=three
clusters ^nns+nom+++=clusters
of ^in++++=of
fibroblasts ^nns+++??+=fibroblasts:
: ^zz++++=EXTRAWORD
Pdgfra ^np+++??+=PDGFRA
Pdpn ^np+++??+=PDPN
Sox6 ^np+++??+=SOX6
( ^zz++++=(PDGFRA
pdgfra ^nn+++??+=EXTRAWORD
) ^zz++++=)
fibroblasts ^nns+++??+=fibroblasts,
, ^zz++++=EXTRAWORD
Pdgfra ^np+++??+=PDGFRA
Pdpn ^np+++??+=PDPN
Abca8 ^np+++??+=ABCA8
( ^zz++++=(ABCA8
abca8 ^nn+++??+=EXTRAWORD
) ^zz++++=)
fibroblasts ^nns+++??+=fibroblasts
and ^cc++++=and
Cd90 ^np+++??+=CD90
Pdpn ^np+++??+=PDPN
Pdgfra ^np+++??+=PDGFRA
Abca8 ^np+++??+=ABCA8
Fap ^np+++??+=FAP
inflammatory ^jj+atrb+++=inflammatory
fibroblasts ^nns+++??+=fibroblasts,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
top ^jjb++++=top
differentially ^rb++++=differentially
expressed ^vbn+vpub++xvbn+=expressed
markers ^nns+nom+++=markers
and ^cc++++=and
previously ^rb+tm+++=previously
described ^xvbn+++xvbn+=described
annotations ^nns+nom+++=annotations
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
4c ^cd++++=4c
and ^cc++++=and
Supplementary ^jj+atrb+++=Supplementary
Table ^nn++++=Table
6 ^zz++++=6
) ^zz++++=).
. ^zz++++=EXTRAWORD
Pdpn ^np+++??+=PDPN
was ^vbd+bedz+aux++=was
expressed ^vpsv++by+xvbnx+=expressed
by ^in++++=by
myofibroblasts ^nns+++??+=myofibroblasts
and ^cc++++=and
all ^rb++++=all
three ^cd++++=three
fibroblast ^nn+++??+=fibroblast
clusters ^nns+nom+++=clusters,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
expression ^nn++++=expression
found ^vbd+vprv++xvbn+=found
in ^in++++=in
inflammatory ^jj+atrb+++=inflammatory
fibroblasts ^nns+++??+=fibroblasts.
. ^zz++++=EXTRAWORD
Thy1 ^np+++??+=THY1
( ^zz++++=(CD90)
cd90 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
highly ^rb+amp+splt++=highly
expressed ^vpsv++agls+xvbnx+=expressed
in ^in++++=in
pericytes ^nns+++??+=pericytes
and ^cc++++=and
inflammatory ^jj+atrb+++=inflammatory
fibroblasts ^nns+++??+=fibroblasts,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
lower ^jjr+atrb+++=lower
levels ^nns++++=levels
in ^in++++=in
abca8 ^np++++=ABCA8
fibroblasts ^nns++++=fibroblasts
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
4c ^cd++++=4c
) ^zz++++=).
. ^zz++++=EXTRAWORD
