Since ^cs+sub+++=Since
, ^zz++++=EXTRAWORD
a ^at++++=a
sample ^nn++++=sample
size ^nn++++=size
( ^zz++++=(
s ^zz++++=s
) ^zz++++=)
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cells ^nns++++=cells
present ^vb++++=present
at ^rb++++=at
any ^dti++++=any
given ^jj+++xvbn+=given
timepoint ^vwbn+++xvbn+=timepoint
within ^in++++=within
a ^at++++=a
cell ^nn++++=cell
type ^nn++++=type.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smallest ^jjt+atrb+++=smallest
s ^zz++++=s
used ^vwbn+++xvbn+=used
was ^vbd+bedz+vrb++=was
ten ^cd++++=ten;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
cutoff ^nn+++??+=cutoff
was ^vbd+bedz+aux++=was
chosen ^vpsv++agls+xvbnx+=chosen
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
least ^rbt++++=least
frequent ^jj+atrb+++=frequent
cell ^nn++++=cell
types ^nns++++=types
having ^vwbg+hvg++xvbg+=having
100 ^cd++++=100
cells ^nns++++=cells
total ^jj++++=total
across ^in+pl+++=across
all ^abn++++=all
timepoints ^nns+++??+=timepoints
within ^in++++=within
a ^at++++=a
participant ^nn+nom+++=participant.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
timepoint ^jj+++xvbn+=timepoint
had ^vb+hv+vrb++=had
fewer ^ap++++=fewer
than ^in++++=than
ten ^cd++++=ten
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
point ^nn++++=point
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
used ^vbd+++xvbn+=used
in ^in++++=in
the ^ati++++=the
testing ^nvbg+++xvbg+=testing.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
plasmablasts ^nns+++??+=plasmablasts
and ^cc++++=and
mdcs ^nns+++??+=mDCs
in ^in++++=in
multiple ^jj+atrb+++=multiple
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
three ^cd++++=three
timepoints ^nns+++??+=timepoints
had ^vb+hv+vrb++=had
fewer ^ap++++=fewer
than ^in++++=than
ten ^cd++++=ten
cells ^nns++++=cells
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
no ^at++++=no
modules ^nns++++=modules
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
significantly ^rb++++=significantly
variant ^jj++++=variant
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
To ^to++++=To
determine ^vbi++++=determine
whether ^cs+who+++=whether
module ^jj+atrb++??+=module
expression ^nn++++=expression
varied ^vbd+++xvbn+=varied
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
1,000 ^cd++++=1,000
two ^cd++++=two-sided
- ^zz++++=EXTRAWORD
sided ^jj+++xvbn+=EXTRAWORD
Mann ^np++++=Mann
Whitney ^np+++??+=Whitney
U ^zz++++=U
- ^zz++++=-tests
tests ^nns++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
scores ^nns++++=scores
from ^in++++=from
s ^zz++++=s
random ^rb++++=random
cells ^nns++++=cells
at ^in++++=at
pre ^nn+++??+=pre-infection
- ^zz++++=EXTRAWORD
infection ^nn+nom+++=EXTRAWORD
and ^cc++++=and
s ^zz++++=s
random ^rb++++=random
cells ^nns++++=cells
from ^in++++=from
each ^dt++++=each
other ^ap++++=other
timepoint ^jj+++xvbn+=timepoint
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed.
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
timepoint ^vwbn+++xvbn+=timepoint,
, ^zz++++=EXTRAWORD
the ^ati++++=the
P ^zz++++=P
values ^nns++++=values
from ^in++++=from
the ^ati++++=the
1,000 ^cd++++=1,000
tests ^nns++++=tests
were ^vbd+bed+aux++=were
averaged ^vpsv++agls+xvbnx+=averaged.
. ^zz++++=EXTRAWORD
After ^in++++=After
Fdr ^np+++??+=FDR
correction ^nn+nom+++=correction,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
q ^zz++++=q
< ^zz++++=<
0.05 ^nn+++??+=0.05
for ^in++++=for
any ^dti++++=any
timepoint ^jj+++xvbn+=timepoint,
, ^zz++++=EXTRAWORD
the ^ati++++=the
module ^nn+++??+=module
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
significantly ^rb++splt++=significantly
vary ^vbi++++=vary
in ^in++++=in
expression ^nn++++=expression
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
approach ^nn++++=approach
and ^cc++++=and
tests ^nns++++=tests
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
written ^vpsv++agls+xvbnx+=written
as ^ql++++=as
functions ^nns+nom+++=functions
in ^in++++=in
r ^zz++++=R
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vbd+ben+aux++=been
included ^vbd+++xvbn+=included
as ^ql++++=as
supplementary ^jj+atrb+++=Supplementary
software ^np++++=Software
. ^zz++++=.
