Using ^vbg+++xvbg+=Using
mutant ^jj+atrb+++=mutant
animals ^nns+nom+++=animals
compared ^vbd+++xvbn+=compared
to ^in++++=to
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
controls ^nns++++=controls
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1g,h ^cd++++=1g,h
) ^zz++++=).
. ^zz++++=EXTRAWORD
Taken ^xvbn+++xvbn+=Taken
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
experiments ^nns+nom+++=experiments
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
mutant ^nn++++=mutant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
wild ^jj++++=wild-type,
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fus ^np+++??+=FUS
is ^vbz+bez+vrb++=is
selectively ^jj++++=selectively
mislocalized ^jj+++xvbn+=mislocalized
to ^in++++=to
the ^ati++++=the
cytoplasm ^nn+++??+=cytoplasm
along ^in++++=along
with ^in"++++=with
interacting ^jj+atrb+++=interacting
rbps ^np++++=RBPs
in ^in++++=in
p517l ^np++++=P517L/WT
and ^cc++++=and
14 ^cd++++=14/WT
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
