Cancer ^nn++++=Cancer
kinase ^nn+++??+=kinase
inhibitors ^nns++++=inhibitors
had ^vb+hv+vrb++=had
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
burden ^nn++++=burden.
. ^zz++++=EXTRAWORD
All ^abn++++=All
mental ^jj+atrb+++=mental
illnesses ^nns+nom+++=illnesses
were ^vbd+bed+aux++=were
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
subsequent ^jj+atrb+++=subsequent
self ^nn++++=self-harm,
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
highest ^nn++++=highest
risk ^vb++++=risk
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
within ^in++++=within
12 ^cd++++=12
months ^nns++++=months
of ^in++++=of
the ^ati++++=the
mental ^jj+atrb+++=mental
illness ^nns+nom+++=illness
diagnosis ^nn++++=diagnosis.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
who ^whp+rel+subj++=who
harmed ^vbd+++xvbn+=harmed
themselves ^ppls+pp3+++=themselves
were ^vbd+bed+vrb++=were
6.8 ^cd++++=6.8
times ^nns++++=times
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
die ^vbi++++=die
of ^in++++=of
unnatural ^jj+atrb+++=unnatural
causes ^nns++++=causes
of ^in++++=of
death ^nn++++=death
compared ^vbd+++xvbn+=compared
with ^in++++=with
controls ^nns++++=controls
within ^in++++=within
12 ^cd++++=12
months ^nns++++=months
of ^in++++=of
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
( ^zz++++=(hazard
hazard ^nn++++=EXTRAWORD
ratio ^nn++++=ratio
( ^zz++++=(HR),
hr ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
6.8 ^cd++++=6.8;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
interval ^nn+nom+++=interval
( ^zz++++=(CI),
ci ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
4.3 ^cd++++=4.3
10.7 ^cd++++=10.7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
risk ^nn++++=risk
of ^in++++=of
unnatural ^jj+atrb+++=unnatural
death ^nn++++=death
after ^cs+sub+++=after
12 ^cd++++=12
months ^nns++++=months
was ^vbd+bedz+vrb++=was
markedly ^rb++++=markedly
lower ^jjr+pred+++=lower
( ^zz++++=(HR,
hr ^nnu++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2.0 ^cd++++=2.0;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
2.7 ^cd++++=2.7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
provide ^vb+vsua+++=provide
an ^at++++=an
extensive ^jj+atrb+++=extensive
knowledge ^nn++++=knowledge
base ^nn++++=base
to ^to++++=to
help ^vbi++++=help
inform ^vb++++=inform
collaborative ^jj+atrb+++=collaborative
cancer ^nn++++=cancer-psychiatric
- ^zz++++=EXTRAWORD
psychiatric ^jj+atrb+++=EXTRAWORD
care ^nn++++=care
initiatives ^nns++++=initiatives
by ^in++++=by
prioritizing ^jj+atrb+++=prioritizing
patients ^nns++++=patients
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
most ^ql+emph+++=most
at ^rb++++=at
risk ^vb++++=risk.
. ^zz++++=EXTRAWORD
