Since ^cs+sub+++=Since
the ^ati++++=the
Py ^np+++??+=PY-NLS
- ^zz++++=EXTRAWORD
nls ^nns+++??+=EXTRAWORD
domain ^nn++++=domain,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
cytoplasm ^nn+++??+=cytoplasm
to ^in++++=to
a ^at++++=a
greater ^jjr+atrb+++=greater
degree ^nn++++=degree
than ^in++++=than
Fus ^np+++??+=FUS-P517L
- ^zz++++=EXTRAWORD
p517l ^nn+++??+=EXTRAWORD
but ^cc++++=but
is ^vbz+bez+vrb++=is
less ^rbr++++=less
toxic ^jj+pred+++=toxic,
, ^zz++++=EXTRAWORD
arguing ^vbg+vpub++xvbg+=arguing
against ^in++++=against
mislocalization ^nn+nom+++=mislocalization
as ^in++++=as
a ^at++++=a
primary ^jj+atrb+++=primary
determinant ^nn+nom+++=determinant
of ^in++++=of
fus ^np++++=FUS
toxicity ^nn+nom+++=toxicity.
. ^zz++++=EXTRAWORD
