Using ^vbg+++xvbg+=Using
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
motivated ^vpsv++agls+xvbnx+=motivated
precisely ^rb++++=precisely
by ^in++++=by
semantic ^jj+atrb+++=semantic
repetition ^nn+nom+++=repetition
as ^ql++++=as
they ^pp3a+pp3+++=they
consist ^nn+nom+++=consist
of ^in++++=of
synonyms ^nns+++??+=synonyms
or ^cc++++=or
near ^in+pl+++=near-synonyms,
- ^zz++++=EXTRAWORD
synonyms ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
employed ^jj+++xvbn+=employed
to ^to++++=to
get ^vbi++++=get
as ^ql++++=as
precise ^jj++++=precise
a ^at++++=a
rendition ^nn+nom+++=rendition
of ^in++++=of
a ^at++++=a
foreign ^jj+atrb+++=foreign
word ^nn++++=word
as ^in++++=as
possible ^jj++++=possible
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
Kotake ^np+++??+=Kotake
2017 ^cd++++=2017
: ^zz++++=:92
92 ^cd++++=EXTRAWORD
thinks ^vbz+vprv+++=thinks
that ^tht+vcmp+++=that
stylistic ^jj+atrb+++=stylistic
reasons ^nns++++=reasons
may ^md+pos+++=may
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
played ^vprf+++xvbnx+=played
a ^at++++=a
part ^nn++++=part).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
8 ^zz++++=8
, ^zz++++=,
the ^ati++++=the
split ^nn+++xvbn+=split
type ^nn++++=type,
, ^zz++++=EXTRAWORD
Anca ^np+++??+=ANCA,
, ^zz++++=EXTRAWORD
also ^rb++++=also
accommodated ^vbd+++xvbn+=accommodated
pairs ^nns++++=pairs
going ^vwbg+++xvbg+=going
back ^rp++++=back
to ^to++++=to
one ^cd1++++=one
Latin ^jj+atrb+++=Latin
word ^nn++++=word,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
pattern ^nn++++=pattern
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
versatile ^jj+pred+++=versatile
( ^zz++++=(and
and ^cc++++=EXTRAWORD
apparently ^rb++++=apparently
more ^rbr++++=more
popular ^jj++++=popular)
) ^zz++++=EXTRAWORD
and ^cc++++=and
very ^ql+amp+++=very
often ^rb++++=often
corresponded ^vbd+++xvbn+=corresponded
to ^to++++=to
two ^cd++++=two
Latin ^jj+atrb+++=Latin
adjectives ^nns++++=adjectives.
. ^zz++++=EXTRAWORD
Acan ^np+++??+=ACAN,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
almost ^rb+hdg+splt++=almost
always ^rb++++=always
associated ^vbd+++xvbn+=associated
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
source ^nn++++=source
adjective ^nn++++=adjective,
, ^zz++++=EXTRAWORD
a ^at++++=a
fact ^nn++++=fact
which ^whp+rel+subj++=which
perhaps ^rb++++=perhaps
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
overlooked ^vpsv++agls+xvbnx+=overlooked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
could ^md+pos+++=could
potentially ^rb++++=potentially
be ^vb+be+aux++=be
explained ^vpsv++agls+xvbnx+=explained
if ^cs+cnd+++=if
the ^ati++++=the
motivations ^nns+nom+++=motivations
between ^in++++=between
the ^ati++++=the
split ^nn+++xvbn+=split
type ^nn++++=type
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered.
. ^zz++++=EXTRAWORD
Mitchell ^np++++=Mitchell
( ^zz++++=(1985
1985 ^cd+date+++=EXTRAWORD
: ^zz++++=:616)
616 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
hypothesizes ^vbz++++=hypothesizes
that ^tht+vcmp+++=that
the ^ati++++=the
splitting ^jj+++xvbg+=splitting
of ^in++++=of
conjoined ^jj+atrb++xvbn+=conjoined
phrases ^nns++++=phrases
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
easier ^jjr++++=easier
to ^to+jcmp+++=to
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+dem+++=this
pattern ^nn++++=pattern
was ^vbd+bedz+vrb++=was
indeed ^qlp++++=indeed
cognitively ^jj++++=cognitively
motivated ^jj+++xvbn+=motivated,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
maybe ^rb+hdg+++=maybe
the ^ati++++=the
eventual ^jj+atrb+++=eventual
shift ^nn++++=shift
to ^in++++=to
pre ^nn+++??+=pre-position
- ^zz++++=EXTRAWORD
position ^nn+nom+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
gradual ^jj+pred+++=gradual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
prenominal ^nn++++=prenominal
conjoined ^vbd+++xvbn+=conjoined
variant ^nn+nom+++=variant
was ^vbd+bedz+aux++=was
at ^rb++splt++=at
first ^rb"++++=first
employed ^vbd+++xvbn+=employed
when ^wrb+who+++=when
the ^ati++++=the
two ^cd++++=two
adjectives ^nns++++=adjectives
were ^vbd+bed+vrb++=were
( ^zz++++=(near-)synonyms
near ^in+pl+++=EXTRAWORD
- ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
synonyms ^nns+++??+=EXTRAWORD
and ^cc++++=and
were ^vbd+bed+aux++=were
essentially ^rb+down+splt++=essentially
processed ^vpsv++agls+xvbnx+=processed
as ^ql++++=as
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
construction ^nn+nom+++=construction
was ^vbd+bedz+aux++=was
simply ^rb++splt++=simply
sanctioned ^vpsv++by+xvbnx+=sanctioned
by ^in++++=by
the ^ati++++=the
abstract ^jj+atrb+++=abstract
schema ^nn++++=schema
An ^at++++=AN,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
A(ca)n ^np+++??+=A(CA)N
was ^vbd+bedz+vrb++=was
an ^at++++=an
option ^nn++++=option
for ^in++++=for
synonymous ^jj+atrb+++=synonymous
pairs ^nns++++=pairs.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
time ^nn++++=time,
, ^zz++++=EXTRAWORD
some ^dti++++=some
speakers ^nns+nom+++=speakers
in ^in++++=in
their ^pp$+pp3+++=their
role ^nn++++=role
as ^ql++++=as
hearers ^nns+nom+++=hearers
may ^md+pos+++=may
have ^vb+hv+aux++=have
interpreted ^vprf+++xvbnx+=interpreted
such ^abl++++=such
strings ^nns++++=strings
as ^ql++++=as
consisting ^jj+++xvbg+=consisting
of ^in++++=of
two ^cd++++=two
independent ^jj++++=independent,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-synonymous
- ^zz++++=EXTRAWORD
synonymous ^jj+atrb+++=EXTRAWORD
adjectives ^nns++++=adjectives,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
only ^ap+down+++=only
expected ^jj+++xvbn+=expected
given ^jj+++xvbn+=given
the ^ati++++=the
semantics ^nn++++=semantics
of ^in++++=of
and ^cc++++=and
. ^zz++++=.
This ^dt+dem+++=This
reinterpretation ^nn+nom+++=reinterpretation
would ^md+prd+++=would
result ^vb++++=result
in ^in++++=in
a ^at++++=a
partial ^jj+atrb+++=partial
match ^nn++++=match
with ^in++++=with
the ^ati++++=the
conjoined ^jj+atrb++xvbn+=conjoined
schema ^nn++++=schema
of ^in++++=of
Oe ^np+++??+=OE
and ^cc++++=and
its ^pp$+it+++=its
subsequent ^jj+atrb+++=subsequent
expansion ^nn++++=expansion
by ^in++++=by
less ^rbr++++=less
prototypical ^jj+atrb+++=prototypical
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
time ^nn++++=time
became ^vbd+++xvbn+=became
more ^rbr++++=more
central ^jj++++=central
( ^zz++++=(
Traugott ^np++++=Traugott
& ^zz++++=&
Trousdale ^np+++??+=Trousdale
2013 ^cd++++=2013
: ^zz++++=:52).
52 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Already ^rb++++=Already
in ^in++++=in
Oe ^np+++??+=OE,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
pairs ^nns++++=pairs
of ^in++++=of
prenominal ^jj+atrb+++=prenominal
conjoined ^jj+atrb++xvbn+=conjoined
adjectives ^nns++++=adjectives
which ^whp+rel+obj++=which
not ^xnot++not++=not
only ^rb+down+++=only
are ^vb+ber+vrb++=are
non ^&fw++++=non-synonymous,
- ^zz++++=EXTRAWORD
synonymous ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
display ^vb++++=display
a ^at++++=a
sloppy ^jj+atrb+++=sloppy
Dp ^np+++??+=DP
identity ^nn+nom+++=identity
( ^zz++++=(
Fischer ^np++++=Fischer
2012 ^cd++++=2012
: ^zz++++=:256),
256 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
refer ^vb++++=refer
to ^to++++=to
separate ^nn+nom+++=separate
instances ^nns+nom+++=instances
of ^in++++=of
the ^ati++++=the
modified ^jj+atrb+++=modified
noun ^nn++++=noun,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
( ^zz++++=(45).
45 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
