Research ^nn++++=Research
and ^cc++++=and
children ^nns++++=children
migrating ^jj++++=migrating
alone ^jj++++=alone
or ^cc++++=or
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
quiet ^nn++++=quiet
about ^in++++=about
living ^xvbg+++xvbg+=living
undocumented ^nn+++??+=undocumented
( ^zz++++=(
Terrio ^np++++=Terrio
2015 ^cd++++=2015
, ^zz++++=,
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
undesirable ^jj+atrb+++=undesirable
subjects ^nns++++=subjects,
, ^zz++++=EXTRAWORD
children ^nns++++=children
in ^in++++=in
federal ^jj+atrb+++=federal
detention ^nn++++=detention
custody ^nn++++=custody
are ^vb+ber+aux++=are
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
adults ^nns++++=adults
under ^in++++=under
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
with ^in++++=with
responsibilities ^nns++++=responsibilities
including ^in++++=including
securing ^xvbg+++xvbg+=securing
legal ^jj+atrb+++=legal
representation ^nn++++=representation
and ^cc++++=and
making ^nvbg+++xvbg+=making
other ^ap++++=other
high ^jj++++=high-stakes
- ^zz++++=EXTRAWORD
stakes ^nns++++=EXTRAWORD
decisions ^nns++++=decisions
( ^zz++++=(pp.
pp ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
13 ^cd++++=13
14 ^cd++++=14).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
asylum ^nn++++=asylum
seekers ^nns++++=seekers,
, ^zz++++=EXTRAWORD
family ^nn++++=family
detention ^nn++++=detention
is ^vbz+bez+vrb++=is
misleading ^jj+pred+++=misleading.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
centers ^nns+++??+=centers
are ^vb+ber+vrb++=are
facilities ^nns++++=facilities
almost ^rb+hdg+++=almost
exclusively ^rb++++=exclusively
housing ^nn++++=housing
single ^jj+atrb+++=single
mothers ^nns++++=mothers
and ^cc++++=and
their ^pp$+pp3+++=their
minor ^jj+atrb+++=minor
children ^nns++++=children;
; ^zz++++=EXTRAWORD
moreover ^rb+cnj+++=moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
deprivations ^nns++++=deprivations
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
subject ^nn++++=subject
reflect ^vb+vprv+++=reflect
carceral ^jj+atrb++??+=carceral
facilities ^nns++++=facilities
generally ^rb+down+++=generally
( ^zz++++=(
Routon ^np++++=Routon
2021 ^cd++++=2021
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
317 ^cd++++=317).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
facilities ^nns++++=facilities
are ^vb+ber+aux++=are
more ^rbr++splt++=more
aptly ^rb++++=aptly
viewed ^vbd+++xvbn+=viewed
as ^ql++++=as
punitive ^nn+++??+=punitive
processing ^vwbg+++xvbg+=processing
centers ^nns+++??+=centers
for ^in++++=for
asylum ^nn++++=asylum
seekers ^nns++++=seekers;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
telling ^vbg+++xvbgx+=telling
that ^tht+vcmp+++=that
advocates ^nns++++=advocates
providing ^vwbg+++xvbg+=providing
care ^nn++++=care
work ^nn++++=work
refer ^vb++++=refer
to ^in++++=to
family ^nn++++=family
detention ^nn++++=detention
facilities ^nns++++=facilities
as ^in++++=as
baby ^nn++++=baby
jail ^nn++++=jail
( ^zz++++=(pp.
pp ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
317 ^cd++++=317,
, ^zz++++=EXTRAWORD
319 ^cd++++=319).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
