Research ^nn++++=Research
explain ^vb+vpub+++=explain
the ^ati++++=the
initial ^jj+atrb+++=initial
increased ^jj+atrb++xvbn+=increased
energy ^nn++++=energy
expenditure ^nn++++=expenditure
( ^zz++++=(Frisancho,
frisancho ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
; ^zz++++=;
Moore ^np++++=Moore
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
) ^zz++++=).
. ^zz++++=EXTRAWORD
Further ^jjb++++=Further,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
energetic ^jj+atrb+++=energetic
demands ^nns++++=demands
increase ^nn++++=increase
to ^in++++=to
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
a ^at++++=a
negative ^jj+atrb+++=negative
energy ^nn++++=energy
balance ^nn++++=balance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
increased ^jj+atrb++xvbn+=increased
energetic ^jj+atrb+++=energetic
cost ^nn++++=cost
is ^vbz+bez+aux++=is
compensated ^vpsv++agls+xvbnx+=compensated
for ^in++++=for
by ^in++++=by
drawing ^xvbg+++xvbg+=drawing
on ^in++++=on
stored ^vbd+++xvbn+=stored
energy ^nn++++=energy
deposits ^nns++++=deposits,
, ^zz++++=EXTRAWORD
like ^in++++=like
fat ^nn++++=fat
stores ^nns++++=stores
that ^tht+rel+subj++=that
serve ^vb++++=serve
as ^in++++=as
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
energy ^nn++++=energy
reservoirs ^nns++++=reservoirs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
muscle ^nn++++=muscle
mass ^nn++++=mass,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
a ^at++++=a
reconfiguration ^nn+++??+=reconfiguration
of ^in++++=of
body ^nn++++=body
composition ^nn++++=composition.
. ^zz++++=EXTRAWORD
Body ^nn++++=Body
mass ^nn++++=mass
fluctuation ^nn++++=fluctuation
is ^vbz+bez+vrb++=is
more ^rbr++++=more
nuanced ^nn+++??+=nuanced
than ^in++++=than
the ^ati++++=the
direct ^jj+atrb+++=direct
consumption ^nn++++=consumption/expenditure
of ^in++++=of
calories ^nns+++??+=calories
and ^cc++++=and
caloric ^jj+atrb++??+=caloric
intake ^nn++++=intake
and ^cc++++=and
the ^ati++++=the
macronutrient ^nn+++??+=macronutrient
content ^nn++++=content
consumed ^vwbn+++xvbn+=consumed
can ^md+pos+++=can
help ^vb++++=help
explain ^vb+vpub+++=explain
expenditure ^nn++++=expenditure.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
energy ^nn++++=energy
deposits ^nns++++=deposits
and ^cc++++=and
subsequent ^jj+atrb+++=subsequent
body ^nn++++=body
composition ^nn++++=composition
changes ^nns++++=changes
can ^md+pos+++=can
broadly ^rb+down+++=broadly
point ^nn++++=point
to ^in++++=to
energy ^nn++++=energy
expenditure ^nn++++=expenditure
exceeding ^vwbg+++xvbg+=exceeding
energy ^nn++++=energy
intake ^nn++++=intake
and ^cc++++=and
help ^nn++++=help
infer ^vb++++=infer
energy ^nn++++=energy
status ^nn++++=status
( ^zz++++=(Ocobock,
ocobock ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Westerterp ^np+++??+=Westerterp
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992
) ^zz++++=).
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
facing ^jj+atrb++xvbg+=facing
energy ^nn++++=energy
deficits ^nns++++=deficits,
, ^zz++++=EXTRAWORD
the ^ati++++=the
body ^nn++++=body
will ^md+prd+++=will
preferentially ^vb+++??+=preferentially
burn ^vb++++=burn
fat ^nn++++=fat
stores ^nns++++=stores
and ^cc++++=and
then ^rn+tm+++=then
begin ^vb++++=begin
to ^to++++=to
burn ^vbi++++=burn
muscle ^nn++++=muscle
( ^zz++++=(Ocobock,
ocobock ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=)
with ^in++++=with
likely ^jj+atrb+++=likely
functional ^jj+atrb+++=functional
implications ^nns++++=implications
for ^in++++=for
everyday ^jjb+atrb+++=everyday
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
prior ^jj+atrb+++=prior
expeditionary ^jj+atrb+++=expeditionary
research ^nn++++=research
where ^wrb+who+++=where
individuals ^nns++++=individuals
experienced ^vbd+++xvbn+=experienced
a ^at++++=a
re ^in++++=re-composition
- ^zz++++=EXTRAWORD
composition ^nn++++=EXTRAWORD
of ^in++++=of
body ^nn++++=body
fat ^nn++++=fat
and ^cc++++=and
muscle ^nn++++=muscle
mass ^nn++++=mass,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
intriguingly ^nn+++??+=intriguingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
re ^in++++=re-composition
- ^zz++++=EXTRAWORD
composition ^nn++++=EXTRAWORD
differed ^vwbn+++xvbn+=differed
by ^in++++=by
sex ^nn++++=sex
( ^zz++++=(Ocobock,
ocobock ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
zaccagni ^np++++=Zaccagni
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
