Second ^rb+cnj+++=Second,
can ^md+pos+++=can
unwittingly ^rb++splt++=unwittingly
encourage ^vb++++=encourage
a ^at++++=a
form ^nn++++=form
of ^in++++=of
typological ^nn+++??+=typological
thinking ^vwbg+++xvbg+=thinking
in ^in++++=in
which ^whp+rel+pied++=which
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
reduced ^vpsv++agls+xvbnx+=reduced
to ^in++++=to
members ^nns++++=members
of ^in++++=of
a ^at++++=a
relatively ^rb++++=relatively
homogenous ^nns+++??+=homogenous
biological ^jj+atrb+++=biological
type ^nn++++=type
or ^cc++++=or
essence ^nn++++=essence
( ^zz++++=(Mayr,
mayr ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1982 ^cd+date+++=1982
) ^zz++++=).
. ^zz++++=EXTRAWORD
