Since ^cs+sub+++=Since
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
provide ^vb+vsua+++=provide
effective ^jj+atrb+++=effective
estimates ^nns+nom+++=estimates
of ^in++++=of
household ^nn++++=household
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Wutich ^np+++??+=Wutich
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Jepson ^np+++??+=Jepson,
, ^zz++++=EXTRAWORD
Wutich ^np+++??+=Wutich,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
for ^in++++=for
reviews ^nns++++=reviews
and ^cc++++=and
Fam ^np+++??+=Fam
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015
for ^in++++=for
an ^at++++=an
introduction ^nn+nom+++=introduction);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
are ^vb+ber+aux++=are
summarized ^vpsv++agls+xvbnx+=summarized
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3
. ^zz++++=.
New ^jj+atrb+++=New
research ^nn++++=research
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
household ^nn++++=household
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
range ^nn++++=range
of ^in++++=of
health ^nn++++=health
outcomes ^nns+++??+=outcomes
including ^in++++=including
breastfeeding ^xvbg+++xvbg+=breastfeeding,
, ^zz++++=EXTRAWORD
water ^nn++++=water-carrying
- ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=EXTRAWORD
injuries ^nns++++=injuries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mental ^jj++++=mental
ill ^jj++++=ill-health
- ^zz++++=EXTRAWORD
health ^nn++++=EXTRAWORD
( ^zz++++=(Boateng
boateng ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Geere ^np+++??+=Geere
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
wutich ^np++++=Wutich,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
, ^zz++++=,
in ^in++++=in
this ^dt+dem+++=this
issue ^nn++++=issue).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
