Since ^cs+sub+++=Since
, ^zz++++=EXTRAWORD
( ^zz++++=(d)
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
underweight ^jj++++=underweight
( ^zz++++=(<18.5
< ^zz++++=EXTRAWORD
18.5 ^cd+date+++=EXTRAWORD
kg ^nnu++++=kg/m
2 ^zz++++=2
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(e)
e ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
not ^xnot++not++=not
underweight ^jj++++=underweight
( ^zz++++=(
18.5 ^cd+date+++=18.5
kg ^nnu++++=kg/m
2 ^zz++++=2
Bmi ^np+++??+=BMI).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
test ^nn++++=test
for ^in++++=for
differential ^jj+atrb+++=differential
effects ^nns++++=effects
of ^in++++=of
sex ^nn++++=sex
by ^in++++=by
maternal ^jj+atrb+++=maternal
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
fitted ^xvbn+++xvbn+=fitted
models ^nns++++=models
for ^in++++=for
Laz ^np+++??+=LAZ,
, ^zz++++=EXTRAWORD
Wlz ^np+++??+=WLZ,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hcaz ^np+++??+=HCAZ
using ^vwbg+++xvbg+=using
all ^abn++++=all
available ^jj+atrb+++=available
cases ^nns++++=cases
from ^in++++=from
0 ^zz++++=0
to ^to++++=to
8 ^zz++++=8
days ^nns++++=days
with ^in++++=with
interaction ^nn++++=interaction
terms ^nns++++=terms
[ ^zz++++=[child
child ^nn++++=EXTRAWORD
sex ^nn++++=sex
* ^zz++++=*
maternal ^jj++++=maternal
underweight ^jj++++=underweight
( ^zz++++=(BMI
bmi ^nn+++??+=EXTRAWORD
< ^zz++++=<18.5
18.5 ^cd+date+++=EXTRAWORD
kg ^nnu++++=kg/m
2 ^zz++++=2
) ^zz++++=)]
] ^zz++++=EXTRAWORD
or ^cc++++=or
[ ^zz++++=[child
child ^nn++++=EXTRAWORD
sex ^nn++++=sex
