Sgrnas ^np+++??+=SgRNAs
Uslu ^np+++??+=Uslu,
, ^zz++++=EXTRAWORD
V.v ^np+++??+=V.V.
. ^zz++++=EXTRAWORD
Tsujimura ^np+++??+=Tsujimura,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Functional ^jj+atrb+++=Functional
and ^cc+phrs+++=and
topological ^jj+atrb+++=topological
characteristics ^nns++++=characteristics
of ^in++++=of
mammalian ^jj+atrb+++=mammalian
regulatory ^nn++++=regulatory
domains ^nns++++=domains
Genome ^np+++??+=Genome
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
24 ^cd++++=24
: ^zz++++=:390-400
390 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
400 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(262)
262 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
testing ^xvbg+++xvbg+=testing
alternative ^jj+atrb+++=alternative
promoters ^nns+nom+++=promoters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
- ^zz++++=-globin
globin ^nn+++??+=EXTRAWORD
promoter ^nn+nom+++=promoter
was ^vbd+bedz+aux++=was
substituted ^vpsv++agls+xvbnx+=substituted
for ^in++++=for
synthesized ^jj+++xvbn+=synthesized
or ^cc++++=or
Pcr ^np+++??+=PCR-amplified
- ^zz++++=EXTRAWORD
amplified ^jj+++xvbn+=EXTRAWORD
Zfp42 ^np+++??+=Zfp42,
, ^zz++++=EXTRAWORD
Triml1 ^np+++??+=Triml1/2
, ^zz++++=,
or ^cc+cls+++=or
Fat1 ^np+++??+=Fat1
promoters ^nns+nom+++=promoters
through ^in++++=through
restriction ^nn+nom+++=restriction
cloning ^vwbg+++xvbg+=cloning.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
core ^nn++++=core
promoters ^nns+nom+++=promoters
incorporate ^nn+nom+++=incorporate
at ^rb++++=at
least ^rb"++++=least
250 ^cd++++=250
bp ^nn+++??+=bp
upstream ^rb+pl+++=upstream
and ^cc++++=and
50 ^cd++++=50
bp ^nn+++??+=bp
downstream ^rb+pl+++=downstream
of ^in++++=of
the ^ati++++=the
major ^jj+atrb+++=major
endogenous ^jj+atrb+++=endogenous
Tss ^np+++??+=TSS-defined
- ^zz++++=EXTRAWORD
defined ^vbn+vprv++xvbn+=EXTRAWORD
in ^in++++=in
Fantom5 ^np+++??+=FANTOM5
Cage ^nn++++=CAGE
transcriptomes ^nns+++??+=transcriptomes
( ^zz++++=(
Figure ^np++++=Figure
5 ^zz++++=5
C ^zz++++=C;
; ^zz++++=EXTRAWORD
key ^jjb+atrb+++=key
resources ^nns++++=resources
table ^nn++++=table
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
bidirectional ^nn+nom+++=bidirectional
Triml1 ^np+++??+=Triml1/2
promoter ^nn+nom+++=promoter
was ^vbd+bedz+aux++=was
inserted ^vpsv++agls+xvbnx+=inserted
to ^to++++=to
enable ^vbi++++=enable
lacz ^nn+++??+=lacZ
transcription ^nn+nom+++=transcription
from ^in++++=from
the ^ati++++=the
Triml2 ^np+++??+=Triml2
orientation ^nn+nom+++=orientation.
. ^zz++++=EXTRAWORD
For ^in++++=For
enhancer ^jjr+atrb+++=enhancer
lacz ^jj+atrb++??+=lacZ
reporter ^nn+nom+++=reporter
experiments ^nns+nom+++=experiments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mouse ^nn++++=mouse
Fat1enh ^np+++??+=Fat1enh
sequence ^nn+nom+++=sequence
was ^vbd+bedz+vrb++=was
Pcr ^np+++??+=PCR-amplified
- ^zz++++=EXTRAWORD
amplified ^jj+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
inserted ^jj+++xvbn+=inserted
into ^in++++=into
a ^at++++=a
phosphoglycerate ^nn+nom+++=phosphoglycerate
kinase ^nn+++??+=kinase
( ^zz++++=(PGK)
pgk ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
promoter ^nn+nom+++=promoter
targeting ^vwbg+++xvbg+=targeting
vector ^nn++++=vector
containing ^vwbg+++xvbg+=containing
Frt ^np+++??+=FRT
sites ^nns++++=sites
for ^in++++=for
insertion ^nn+nom+++=insertion
into ^in++++=into
C2 ^np+++??+=C2
Escs ^np+++??+=ESCs.
. ^zz++++=EXTRAWORD
A ^at++++=A
list ^nn++++=list
of ^in++++=of
sgrnas ^nns+++??+=sgRNAs,
, ^zz++++=EXTRAWORD
corresponding ^jj+atrb++xvbg+=corresponding
homology ^nn+++??+=homology
constructs ^vbz++++=constructs
and ^cc+phrs+++=and
resulting ^vbg+++xvbg+=resulting
mutant ^nn++++=mutant
Escs ^np+++??+=ESCs
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Table ^nn++++=Table
S1 ^np+++??+=S1
. ^zz++++=.
Cloned ^np+++??+=Cloned
enhancer ^jjr++++=enhancer
and ^cc++++=and
promoter ^nn+nom+++=promoter
sequences ^nns+nom+++=sequences
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
key ^jjb+atrb+++=key
resources ^nns++++=resources
table ^nn++++=table
. ^zz++++=.
all ^abn++++=All
plasmids ^nns++++=plasmids
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
on ^in++++=on
addgene ^np++++=Addgene.
. ^zz++++=EXTRAWORD
