Using ^vbg+++xvbg+=Using
words ^nns++++=words
among ^in++++=among
teenagers ^nns+nom+++=teenagers
of ^in++++=of
North ^nr+pl+++=North
African ^jj+atrb+++=African
descent ^nn++++=descent
in ^in++++=in
a ^at++++=a
French ^jj+atrb+++=French
language ^nn+nom+++=language
context ^nn++++=context
through ^in++++=through
uttering ^xvbg+++xvbg+=uttering
the ^ati++++=the
formulate ^nn+nom+++=formulate
Arabic ^jj+atrb+++=Arabic
term ^nn++++=term
hashek ^nn+++??+=hashek
. ^zz++++=.
Their ^pp$+pp3+++=Their
use ^nn++++=use
of ^in++++=of
hashek ^nn+++??+=hashek
allows ^vbz++++=allows
impolite ^nn++++=impolite
or ^cc++++=or
taboo ^jj+atrb+++=taboo
speech ^nn++++=speech
and ^cc++++=and
marks ^nns++++=marks
their ^pp$+pp3+++=their
identities ^nns+nom+++=identities
as ^ql++++=as
both ^abx++++=both
Arab ^jj+atrb+++=Arab
Muslims ^nn++++=Muslims
and ^cc++++=and
French ^jj+atrb+++=French
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
Reminiscent ^jj++++=Reminiscent
of ^in++++=of
feminists ^nns+nom+++=feminists
who ^whp+rel+subj++=who
created ^vbd+++xvbn+=created
a ^at++++=a
magazine ^nn++++=magazine
entitled ^vwbn+++xvbn+=entitled
Bitch ^np+++??+=Bitch:
: ^zz++++=EXTRAWORD
Feminist ^np+nom++??+=Feminist
Response ^nn++++=Response
to ^to++++=to
Pop ^vbi++++=Pop
Culture ^nn++++=Culture
, ^zz++++=,
Zhu ^np+++??+=Zhu
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examines ^vbz++++=examines
the ^ati++++=the
appropriation ^nn+nom+++=appropriation
of ^in++++=of
the ^ati++++=the
racist ^nn++++=racist
Trumpian ^np+++??+=Trumpian
term ^nn++++=term,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
disease ^nn++++=disease
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
recontextualized ^vpsv++agls+xvbnx+=recontextualized
and ^cc+phrs+++=and
challenged ^vpsv++agls+xvbn+=challenged
in ^in++++=in
Chinese ^jj+atrb+++=Chinese
social ^jj+atrb+++=social
media ^nn++++=media
discourse ^nn++++=discourse
through ^in++++=through
Chinese ^jj+atrb+++=Chinese
English ^jj+atrb+++=English
translanguage ^nn+nom+++=translanguage
swearing ^vwbg+++xvbg+=swearing.
. ^zz++++=EXTRAWORD
Weibo ^np+++??+=Weibo
social ^jj+atrb+++=social
media ^nn++++=media
users ^nns++++=users
blurred ^vbd+++xvbn+=blurred
the ^ati++++=the
boundary ^nn+nom+++=boundary
between ^in++++=between
English ^nn++++=English
and ^cc++++=and
Chinese ^nn+nom+++=Chinese
in ^in++++=in
their ^pp$+pp3+++=their
creative ^jj+atrb+++=creative
use ^nn++++=use
of ^in++++=of
profanity ^nn+nom+++=profanity
that ^tht+rel+subj++=that
mocked ^vbd+++xvbn+=mocked
and ^cc+phrs+++=and
rebuked ^vbd+++xvbn+=rebuked
trump ^np++++=Trump's
's ^$++++=EXTRAWORD
racist ^nn++++=racist
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
