Research ^nn++++=Research
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
influence ^nn+nom+++=influence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
helping ^jj+atrb++xvbg+=helping
behavior ^nn++++=behavior
and ^cc++++=and
leads ^vbz++++=leads
to ^in++++=to
cooperative ^jj+atrb+++=cooperative
responses ^nns++++=responses
to ^in++++=to
common ^jj+atrb+++=common
threats ^nns++++=threats
( ^zz++++=(Jetten
jetten ^vb+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
effects ^nns++++=effects
are ^vb+ber+aux++=are
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
cumulative ^jj+pred+++=cumulative
and ^cc+phrs+++=and
multiple ^jj+atrb+++=multiple
group ^nn++++=group
memberships ^nns+nom+++=memberships
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
resilience ^nn+nom+++=resilience
in ^in++++=in
times ^nns++++=times
of ^in++++=of
turmoil ^nn++++=turmoil
and ^cc++++=and
transition ^nn+nom+++=transition
across ^in+pl+++=across
the ^ati++++=the
lifespan ^nn+nom+++=lifespan:
: ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
group ^nn++++=group
belonging ^vwbg+++xvbg+=belonging
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^to++++=to
increased ^vbi++++=increased
self ^nn++++=self-esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
children ^nns++++=children
attending ^vwbg+++xvbg+=attending
primary ^jj+atrb+++=primary
school ^nn++++=school
and ^cc++++=and
retired ^jj+atrb++xvbn+=retired
older ^jjr+atrb+++=older
adults ^nns++++=adults
( ^zz++++=(Jetten
jetten ^vb+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
; ^zz++++=;
see ^vb+vprv+++=see
also ^rb++++=also
Steffens ^np+++??+=Steffens
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=)
and ^cc++++=and
better ^jjr+atrb+++=better
mental ^jj+atrb+++=mental
health ^nn++++=health
in ^in++++=in
adolescents ^nns++++=adolescents
( ^zz++++=(Miller
miller ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
groups ^nns++++=groups
benefit ^nn++++=benefit.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
group ^nn++++=group
memberships ^nns+nom+++=memberships
have ^vb+hv+vrb++=have
unhealthful ^jj+atrb+++=unhealthful
norms ^nns++++=norms;
; ^zz++++=EXTRAWORD
others ^aps++++=others
are ^vb+ber+aux++=are
stigmatized ^vpsv++agls+xvbnx+=stigmatized,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
marginalization ^nn+nom+++=marginalization
and ^cc++++=and
rejection ^nn+nom+++=rejection
of ^in++++=of
group ^nn++++=group
members ^nns+nom+++=members
and ^cc++++=and
a ^at++++=a
withdrawal ^nn+nom+++=withdrawal
of ^in++++=of
shared ^jj+atrb++xvbn+=shared
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
social ^nn++++=social
curse ^vb++++=curse
( ^zz++++=(Kellezi
kellezi ^nn+++??+=EXTRAWORD
& ^zz++++=&
Reicher ^np+++??+=Reicher,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
wakefield ^np++++=Wakefield
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
