Second ^rb+cnj+++=Second,
the ^ati++++=the
simultaneous ^jj+atrb+++=simultaneous
performance ^nn+nom+++=performance
of ^in++++=of
dual ^jj+atrb+++=dual
ethnic ^jj+atrb+++=ethnic
and ^cc+phrs+++=and
national ^jj+atrb+++=national
identities ^nns+nom+++=identities
by ^in++++=by
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
( ^zz++++=(Celeste
celeste ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Hillekens ^np+++??+=Hillekens
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
; ^zz++++=;
Van ^&fw++++=Van
Acker ^np+++??+=Acker
& ^zz++++=&
Vanbeselaere ^np+++??+=Vanbeselaere,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
also ^rb++++=also
align ^nn+++??+=align
with ^in++++=with
previous ^jj+atrb+++=previous
findings ^nns++++=findings
showing ^vb+vprv++xvbg+=showing
that ^tht+vcmp+++=that
youth ^nn++++=youth
feel ^vb+vprv+++=feel
less ^rbr++++=less
vulnerable ^jj++++=vulnerable
in ^in++++=in
more ^rbr++++=more
diverse ^jj+atrb+++=diverse
classrooms ^nns++++=classrooms
as ^in++++=as
diversity ^nn+nom+++=diversity
allows ^vbz++++=allows
for ^in+ppvb+++=for
different ^jj+atrb+++=different
available ^jj+atrb+++=available
norms ^nns++++=norms
in ^in++++=in
the ^ati++++=the
peer ^nn++++=peer
group ^nn++++=group
( ^zz++++=(Agirdag
agirdag ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Graham ^np++++=Graham,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
shed ^vbd+++xvbn+=shed
new ^jj++++=new
light ^jj++++=light
on ^in++++=on
the ^ati++++=the
understudied ^jj+atrb++xvbn+=understudied
role ^nn++++=role
of ^in++++=of
peers ^nns++++=peers
in ^in++++=in
Ers ^np+++??+=ERS.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
also ^rb++++=also
add ^vb+vpub+++=add
to ^in++++=to
previous ^jj+atrb+++=previous
studies ^nns++++=studies
on ^in++++=on
the ^ati++++=the
peer ^nn++++=peer
socialization ^nn+nom+++=socialization
of ^in++++=of
ethnic ^jj++++=ethnic-racial
- ^zz++++=EXTRAWORD
racial ^jj+atrb+++=EXTRAWORD
identity ^nn+nom+++=identity
by ^in++++=by
studying ^xvbg+++xvbg+=studying
dual ^jj+atrb+++=dual
identities ^nns+nom+++=identities,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
novel ^nn++++=novel
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
compatibility ^nn+nom+++=compatibility
of ^in++++=of
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identities ^nns+nom+++=identities
( ^zz++++=(Priest
priest ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
ruck ^np++++=Ruck
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022
) ^zz++++=).
. ^zz++++=EXTRAWORD
