Research ^nn++++=Research
ethnic ^nn+++??+=ethnic
discrimination ^nn++++=discrimination
( ^zz++++=(Bagci
bagci ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
Benner ^np+++??+=Benner
& ^zz++++=&
Wang ^np+++??+=Wang,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=)
and ^cc++++=and
negative ^jj+atrb+++=negative
contact ^nn++++=contact
( ^zz++++=(Paolini
paolini ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=),
, ^zz++++=EXTRAWORD
improved ^j+++xvbn+=improved
college ^npl++++=college
students ^nns++++=students
institutional ^jj+atrb+++=institutional
belongingness ^nns+++??+=belongingness
and ^cc++++=and
satisfaction ^nn++++=satisfaction
( ^zz++++=(Mendoza-Denton
mendoza ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
denton ^np++++=EXTRAWORD
& ^zz++++=&
Page ^nn++++=Page-Gould,
- ^zz++++=EXTRAWORD
gould ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=),
, ^zz++++=EXTRAWORD
improved ^j+++xvbn+=improved
psychological ^jj++++=psychological
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
in ^in++++=in
both ^abx++++=both
minority ^nn++++=minority
and ^cc++++=and
majority ^nn++++=majority
students ^nns++++=students,
, ^zz++++=EXTRAWORD
via ^in++++=via
self ^nn++++=self-disclosure
- ^zz++++=EXTRAWORD
disclosure ^nn+++??+=EXTRAWORD
and ^cc++++=and
self ^nn++++=self-affirmation
- ^zz++++=EXTRAWORD
affirmation ^nn++++=EXTRAWORD
( ^zz++++=(Bagci
bagci ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
also ^rb++++=also
some ^dti++++=some
evidence ^nn++++=evidence,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship
can ^md+pos+++=can
be ^vb+be+aux++=be
negatively ^rb++splt++=negatively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
health ^nn++++=health
and ^cc++++=and
well ^rb++++=well-being.
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
work ^nn++++=work
with ^in++++=with
secondary ^jj+atrb+++=secondary
school ^nn++++=school
students ^nns++++=students,
, ^zz++++=EXTRAWORD
Brenick ^np+++??+=Brenick
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2018 ^cd++++=2018
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
for ^in++++=for
minority ^nn++++=minority
group ^nn++++=group
adolescents ^nns++++=adolescents,
, ^zz++++=EXTRAWORD
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship
with ^in++++=with
majority ^nn++++=majority
peers ^nns++++=peers
strengthened ^vwbn+++xvbn+=strengthened
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
perceived ^jj+atrb++xvbn+=perceived
discrimination ^nn++++=discrimination
and ^cc++++=and
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
classrooms ^nns++++=classrooms
where ^wrb+who+++=where
intergroup ^jj+atrb++??+=intergroup
friendship ^nn++++=friendship
was ^vbd+bedz+aux++=was
less ^rbr++splt++=less
supported ^vpsv++agls+xvbnx+=supported.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
more ^rbr++++=more
outgroup ^jj+atrb++??+=outgroup
friends ^nns++++=friends
one ^cd1++++=one
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
likely ^jj+atrb+++=likely
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi++vrb++=be
ostracized ^nn+++??+=ostracized
by ^in++++=by
the ^ati++++=the
group ^nn++++=group
or ^cc++++=or
feel ^vb+vprv+++=feel
a ^at++++=a
shared ^jj+atrb++xvbn+=shared
discrimination ^nn++++=discrimination
on ^in++++=on
behalf ^nn++++=behalf
of ^in++++=of
outgroup ^nn+++??+=outgroup
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
amongst ^in++++=amongst
minority ^nn++++=minority
group ^nn++++=group
members ^nns++++=members.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
an ^at++++=an
assertion ^nn++++=assertion
that ^tht+ncmp+++=that
requires ^vbz++++=requires
further ^jjb++++=further
testing ^jj+++xvbg+=testing
to ^to++++=to
determine ^vbi++++=determine
when ^wrb+who+++=when
this ^dt+pdem+++=this
might ^md+pos+++=might
occur ^vb++++=occur
and ^cc++++=and
also ^rb++++=also
whether ^cs+who+++=whether
this ^dt+dem+++=this
effect ^nn++++=effect
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
across ^in+pl+++=across
the ^ati++++=the
lifespan ^nn+++??+=lifespan.
. ^zz++++=EXTRAWORD
Relatedly ^np+++??+=Relatedly,
, ^zz++++=EXTRAWORD
intimate ^jj+atrb+++=intimate
intergroup ^nn+++??+=intergroup
contact ^nn++++=contact
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
indirectly ^rb++splt++=indirectly
predict ^vbi+vpub+++=predict
outcomes ^nns+++??+=outcomes
that ^tht+rel+obj++=that
may ^md+pos+++=may
have ^vb+hv+aux++=have
knock ^vb++++=knock-on
- ^zz++++=EXTRAWORD
on ^in++++=EXTRAWORD
effects ^nns++++=effects
for ^in++++=for
health ^nn++++=health
and ^cc++++=and
well ^rb++++=well-being.
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
romantic ^jj+atrb+++=romantic
relationships ^nns++++=relationships,
, ^zz++++=EXTRAWORD
Paterson ^np++++=Paterson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2015 ^cd++++=2015
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
while ^cs+sub+++=while
intimate ^jj+atrb+++=intimate
intergroup ^nn+++??+=intergroup
contact ^nn++++=contact
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
more ^rbr++++=more
positive ^jj+atrb+++=positive
outgroup ^nn+++??+=outgroup
attitudes ^nns++++=attitudes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
also ^rb++++=also
exposed ^xvbn+++xvbn+=exposed
individuals ^nns++++=individuals
to ^in++++=to
the ^ati++++=the
disapproval ^nn++++=disapproval
of ^in++++=of
family ^nn++++=family
and ^cc++++=and
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
not ^xnot++not++=not
examined ^vbd+++xvbn+=examined
in ^in++++=in
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
such ^abl++++=such
disapproval ^nn++++=disapproval,
, ^zz++++=EXTRAWORD
at ^in++++=at
its ^pp$+it+++=its
worst ^jjt++++=worst,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
blame ^nn++++=blame
and ^cc++++=and
resentment ^nn++++=resentment
from ^in++++=from
valued ^vbd+++xvbn+=valued
ingroup ^nn+++??+=ingroup
members ^nns++++=members,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
potentially ^rb++++=potentially
negative ^jj+atrb+++=negative
health ^nn++++=health
repercussions ^nns++++=repercussions
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
kellezi ^np++++=Kellezi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
