Research ^nn++++=Research
of ^in++++=of
past ^jjb+atrb+++=past
events ^nns++++=events
might ^md+pos+++=might
have ^vb+hv+vrb++=have
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
on ^in++++=on
willingness ^nn++++=willingness
to ^to+ncmp+++=to
engage ^vbi++++=engage
in ^in++++=in
contact ^nn++++=contact.
. ^zz++++=EXTRAWORD
Guilt ^nn++++=Guilt
for ^in++++=for
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
group ^nn++++=group's
's ^$++++=EXTRAWORD
wrongdoings ^nns+++??+=wrongdoings,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
both ^abx++++=both
reduce ^vb++++=reduce
contact ^nn++++=contact
intentions ^nns++++=intentions
( ^zz++++=(Green
green ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=)
and ^cc++++=and
increase ^nn++++=increase
negative ^jj+atrb+++=negative
expectations ^nns++++=expectations
about ^in++++=about
contact ^nn++++=contact
with ^in++++=with
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
outgroup ^nn+++??+=outgroup
( ^zz++++=(Imhoff
imhoff ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
intergroup ^nn+++??+=intergroup
relations ^nns++++=relations
might ^md+pos+++=might
be ^vb+be+aux++=be
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
denial ^nn++++=denial
of ^in++++=of
responsibility ^nn++++=responsibility
( ^zz++++=(Bilewicz,
bilewicz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Leach ^np+++??+=Leach
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=)
and ^cc++++=and
derogation ^nn+++??+=derogation
of ^in++++=of
outgroup ^nn+++??+=outgroup
members ^nns++++=members
( ^zz++++=(Castano
castano ^nn+++??+=EXTRAWORD
& ^zz++++=&
Giner ^np+++??+=Giner-Sorolla,
- ^zz++++=EXTRAWORD
sorolla ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Imhoff ^np+++??+=Imhoff
& ^zz++++=&
Banse ^np+++??+=Banse,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
members ^nns++++=members
of ^in++++=of
victimized ^nn+++??+=victimized
groups ^nns++++=groups
might ^md+pos+++=might
be ^vb+be+vrb++=be
unwilling ^jj+pred+++=unwilling
to ^to+jcmp+++=to
engage ^vbi++++=engage
in ^in++++=in
contact ^nn++++=contact
with ^in++++=with
perpetrator ^nn++++=perpetrator
group ^nn++++=group
members ^nns++++=members
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
the ^ati++++=the
latter ^ap++++=latter
do ^vb+do+aux++=do
not ^xnot++not++=not
acknowledge ^vb+vpub+++=acknowledge
the ^ati++++=the
harm ^nn++++=harm
they ^pp3a+pp3+++=they
inflicted ^vbd+++xvbnx+=inflicted
( ^zz++++=(Vollhardt
vollhardt ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
