Research ^nn++++=Research
, ^zz++++=EXTRAWORD
calculating ^vbg+++xvbg+=calculating)
) ^zz++++=EXTRAWORD
than ^in++++=than
are ^vb+ber+vrb++=are
low ^jj+pred+++=low-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
individuals ^nns++++=individuals
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
generous ^jj++++=generous,
, ^zz++++=EXTRAWORD
honest ^jj++++=honest,
, ^zz++++=EXTRAWORD
charitable ^jj++++=charitable).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
perceived ^vpsv++agls+xvbnx+=perceived
based ^vbd+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
Ses ^np+++??+=SES
also ^rb++++=also
depends ^vbz++++=depends
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own
social ^jj+atrb+++=social
status ^nn++++=status
and ^cc++++=and
may ^md+pos+++=may
have ^vb+hv+vrb++=have
consequences ^nns++++=consequences
for ^in++++=for
perceived ^vbd+vprv++xvbn+=perceived
social ^jj+atrb+++=social
mobility ^nn++++=mobility.
. ^zz++++=EXTRAWORD
High ^jj++++=High-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
adolescents ^nns++++=adolescents
may ^md+pos+++=may
positively ^rb++splt++=positively
distinguish ^vb++++=distinguish
their ^pp$+pp3+++=their
own ^ap++++=own
group ^nn++++=group
from ^in++++=from
lower ^jjr+atrb+++=lower
status ^nn++++=status
groups ^nns++++=groups
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
in ^in++++=in-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
bias ^nn++++=bias)
) ^zz++++=EXTRAWORD
and ^cc++++=and
use ^nn++++=use
specific ^jj+atrb+++=specific
social ^jj+atrb+++=social
cognitions ^nns+++??+=cognitions
to ^to++++=to
justify ^vbi++++=justify
their ^pp$+pp3+++=their
enhanced ^jj+atrb++xvbn+=enhanced
status ^nn++++=status
( ^zz++++=(Nesdale,
nesdale ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Tajfel ^np+++??+=Tajfel
& ^zz++++=&
Turner ^np++++=Turner,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
expressing ^vbg+++xvbg+=expressing
negative ^jj+atrb+++=negative
views ^nns++++=views
about ^in++++=about
low ^jj++++=low-status
- ^zz++++=EXTRAWORD
status ^nn++++=EXTRAWORD
individuals ^nns++++=individuals
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
strategy ^nn++++=strategy
of ^in++++=of
high ^jj++++=high-status
- ^zz++++=EXTRAWORD
status ^nn++++=EXTRAWORD
adolescents ^nns++++=adolescents
to ^to++++=to
maintain ^vbi+vpub+++=maintain
their ^pp$+pp3+++=their
status ^nn++++=status
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
hierarchy ^nn++++=hierarchy.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
low ^jj++++=low-status
- ^zz++++=EXTRAWORD
status ^nn++++=EXTRAWORD
adolescents ^nns++++=adolescents
may ^md+pos+++=may
be ^vb+be+vrb++=be
aware ^jj+pred+++=aware
of ^in++++=of
negative ^jj+atrb+++=negative
stereotypes ^nns+++??+=stereotypes
about ^in++++=about
the ^ati++++=the
poor ^jj++++=poor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
distance ^nn++++=distance
themselves ^ppls+pp3+++=themselves
from ^in++++=from
being ^xvbg+++xvbg+=being
a ^at++++=a
member ^nn++++=member
of ^in++++=of
this ^dt+dem+++=this
group ^nn++++=group
by ^in++++=by
expressing ^xvbg+++xvbg+=expressing
negative ^jj+atrb+++=negative
views ^nns++++=views
about ^rb++++=about
them ^pp3o+pp3+++=them
( ^zz++++=(Kay
kay ^np++++=EXTRAWORD
& ^zz++++=&
jost ^np++++=Jost,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
