Second ^rb+cnj+++=Second,
across ^in+pl+++=across
disciplines ^nns++++=disciplines
or ^cc++++=or
even ^rb++++=even
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
generalisability ^nn+++??+=generalisability
of ^in++++=of
findings ^nns++++=findings
might ^md+pos+++=might
be ^vb+be+aux++=be
limited ^vpsv++agls+xvbnx+=limited.
. ^zz++++=EXTRAWORD
The ^ati++++=The
preference ^nn++++=preference
for ^in++++=for
L2 ^np+++??+=L2
production ^nn++++=production
by ^in++++=by
university ^nn++++=university
students ^nns++++=students
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
another ^dt++++=another
critical ^jj+atrb+++=critical
issue ^nn++++=issue
in ^in++++=in
corpus ^nn++++=corpus
design ^nn++++=design:
: ^zz++++=EXTRAWORD
lack ^nn++++=lack
of ^in++++=of
genre ^nn++++=genre
diversity ^nn++++=diversity.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
university ^npl++++=university
students ^nns++++=students
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
write ^vbi++++=write
lengthy ^jj+atrb+++=lengthy
essays ^nns++++=essays
or ^cc++++=or
term ^nn++++=term
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
many ^ap++++=many
learner ^nn++++=learner
corpora ^nn+++??+=corpora
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
are ^vb+ber+aux++=are
composed ^vpsv++agls+xvbnx+=composed
of ^in++++=of
argumentative ^nn+++??+=argumentative/persuasive
and ^cc++++=and
organisational ^jj+atrb+++=organisational
correspondence ^nn++++=correspondence.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
creative ^jj+atrb+++=creative
writing ^jj+atrb++xvbg+=writing
genres ^nns+++??+=genres
such ^abl++++=such
as ^ql++++=as
fiction ^nn++++=fiction,
, ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
plays ^nns++++=plays,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
microblogs ^nns+++??+=microblogs
and ^cc++++=and
vlogs ^nns+++??+=vlogs,
, ^zz++++=EXTRAWORD
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
corpus ^nn++++=corpus
designs ^nns++++=designs
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
be ^vbi++vrb++=be
truly ^rb++++=truly
representative ^jj+pred+++=representative
of ^in++++=of
english ^jj+atrb+++=English
learner ^nn++++=learner
use ^nn++++=use
in ^in++++=in
hong ^np++++=Hong
kong ^np++++=Kong.
. ^zz++++=EXTRAWORD
