Carbon ^nn++++=Carbon
Salazar ^np++++=Salazar-Garc
- ^zz++++=EXTRAWORD
garc ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014a ^cd++++=2014a
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
accepted ^vprf+++xvbn+=accepted
quality ^nn+nom+++=quality
indicators ^nns++++=indicators
can ^md+pos+++=can
easily ^rb++splt++=easily
indicate ^nn+nom+++=indicate
the ^ati++++=the
isotopic ^jj+atrb+++=isotopic
integrity ^nn+nom+++=integrity
even ^rb++++=even
from ^in++++=from
material ^nn++++=material
older ^jjr++++=older
than ^in++++=than
100 ^cd++++=100
ka ^nn+++??+=ka
( ^zz++++=(
De ^np++++=De
Niro ^np+++??+=Niro,
, ^zz++++=EXTRAWORD
1985 ^cd+date+++=1985
; ^zz++++=;
Van ^&fw++++=Van
Klinken ^np+++??+=Klinken,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
; ^zz++++=;
Britton ^np+++??+=Britton
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
collagen ^j+++xvbn+=collagen
extracted ^jj+++xvbn+=extracted
from ^in++++=from
bone ^nn++++=bone
is ^vbz+bez+vrb++=is
unlikely ^jj+pred+++=unlikely
to ^to+jcmp+++=to
include ^vbi++++=include
contaminants ^nns+nom+++=contaminants
from ^in++++=from
exogenous ^jj+atrb+++=exogenous
sources ^nns++++=sources
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
soil ^nn++++=soil
environment ^nn+nom+++=environment),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
analysis ^nn++++=analysis
of ^in++++=of
isotopes ^nns++++=isotopes
in ^in++++=in
carbonate ^nn+nom+++=carbonate
or ^cc++++=or
phosphate ^nn+nom+++=phosphate
components ^nns++++=components
of ^in++++=of
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
Collagen ^np+++??+=Collagen
also ^rb++++=also
reflects ^vbz++++=reflects
the ^ati++++=the
isotopic ^jj+atrb+++=isotopic
signals ^nns+nom+++=signals
of ^in++++=of
the ^ati++++=the
averaged ^jj+++xvbn+=averaged
main ^jjb+atrb+++=main
dietary ^jj+atrb+++=dietary
protein ^nn++++=protein
sources ^nns++++=sources
consumed ^vwbn+++xvbn+=consumed
over ^in++++=over
several ^ap++++=several
years ^nns++++=years
preceding ^vwbg+++xvbg+=preceding
the ^ati++++=the
individual ^jj+atrb+++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
death ^nn++++=death
( ^zz++++=(
Schwarcz ^np++++=Schwarcz
and ^cc++++=and
Schoeninger ^np+nom++??+=Schoeninger,
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991
; ^zz++++=;
Ambrose ^np++++=Ambrose
and ^cc++++=and
Norr ^np+++??+=Norr,
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
; ^zz++++=;
hedges ^nns++++=Hedges
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=).
. ^zz++++=EXTRAWORD
