Research ^nn++++=Research
inequality ^nn++++=inequality
often ^rb++++=often
emphasize ^vb++++=emphasize
theoretical ^jj+atrb+++=theoretical
abstraction ^nn++++=abstraction
or ^cc++++=or
reflect ^vb+vprv+++=reflect
societal ^nn+++??+=societal
bias ^nn++++=bias
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
analyzing ^nn+++??+=analyzing
its ^pp$+it+++=its
lived ^vbd+++xvbn+=lived
experience ^nn++++=experience
among ^in++++=among
the ^ati++++=the
disempowered ^nn+++??+=disempowered
( ^zz++++=(
Green ^np++++=Green
1994 ^cd+date+++=1994
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
228 ^cd++++=228;
; ^zz++++=EXTRAWORD
Bourgois ^np+++??+=Bourgois
2004 ^cd++++=2004
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
303 ^cd++++=303;
; ^zz++++=EXTRAWORD
Polanco ^np+++??+=Polanco
2015 ^cd++++=2015
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
202 ^cd++++=202);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
concomitantly ^nn+++??+=concomitantly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
affective ^nn+++??+=affective
dimensions ^nns++++=dimensions
of ^in++++=of
retribution ^nn+++??+=retribution
among ^in++++=among
the ^ati++++=the
empowered ^nn++++=empowered
remain ^vb++++=remain
underexplored ^nn+++??+=underexplored
( ^zz++++=(
Fassin ^np++++=Fassin
2018 ^cd++++=2018
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
122 ^cd++++=122).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
anthropology ^nn++++=anthropology's
's ^vbz+bez+vrb++0=EXTRAWORD
special ^jj+atrb+++=special
strengths ^nns++++=strengths
are ^vb+ber+vrb++=are
its ^pp$+it+++=its
emphasis ^nn++++=emphasis
on ^in++++=on
culture ^nn++++=culture
and ^cc++++=and
on ^in++++=on
ethnography ^nn+++??+=ethnography,
, ^zz++++=EXTRAWORD
too ^ql++++=too
often ^rb++++=often
it ^pp3+it+++=it
offers ^vbz++++=offers
cursory ^jj+atrb+++=cursory
or ^cc+phrs+++=or
utopian ^jj+atrb+++=utopian
solutions ^nns++++=solutions
and ^cc++++=and
platitudes ^nns++++=platitudes,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
those ^dt+dem+++=those
tasked ^nn+++??+=tasked
with ^in++++=with
the ^ati++++=the
everyday ^jjb+atrb+++=everyday
work ^nn++++=work
of ^in++++=of
law ^nn++++=law
and ^cc++++=and
policy ^nn++++=policy
implementation ^nn++++=implementation
( ^zz++++=(
Speed ^np++++=Speed
2019 ^cd++++=2019
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
8 ^zz++++=8;
; ^zz++++=EXTRAWORD
Dewey ^np+++??+=Dewey
2021 ^cd++++=2021
, ^zz++++=,
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
e158 ^nn+++??+=e158
59 ^cd++++=59).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
anthropology ^nn++++=anthropology's
's ^$++++=EXTRAWORD
contributions ^nns++++=contributions
to ^in++++=to
carcerality ^nn+++??+=carcerality
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
significant ^jj++++=significant,
, ^zz++++=EXTRAWORD
increasingly ^rb++++=increasingly
so ^rb++++=so
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
decade ^nn++++=decade.
. ^zz++++=EXTRAWORD
Anthropologists ^nns++++=Anthropologists
draw ^vb++++=draw
attention ^nn++++=attention
to ^in++++=to
the ^ati++++=the
vast ^jj+atrb+++=vast
facets ^nns++++=facets
of ^in++++=of
Us ^pp1o+pp1+++=US
carcerality ^nn+++??+=carcerality
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
ways ^nns++++=ways
that ^tht+rel+obj++=that
nonbelonging ^nn+++??+=nonbelonging
is ^vbz+bez+vrb++=is
orchestrated ^nn+++??+=orchestrated
through ^in++++=through
anti ^nn+++??+=anti-Black
- ^zz++++=EXTRAWORD
black ^jj++++=EXTRAWORD
and ^cc++++=and
antibrown ^nn+++??+=antibrown
racism ^nn+++??+=racism
against ^in++++=against
citizens ^nns++++=citizens
and ^cc++++=and
through ^in++++=through
antiforeigner ^nn+++??+=antiforeigner
xenophobia ^nn+++??+=xenophobia,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
contested ^vbd+++xvbn+=contested
through ^in++++=through
self ^nn++++=self-regeneration
- ^zz++++=EXTRAWORD
regeneration ^nn++++=EXTRAWORD
practices ^nns++++=practices
within ^in++++=within
kinship ^nn++++=kinship
communities ^nns++++=communities.
. ^zz++++=EXTRAWORD
Criminalization ^np+++??+=Criminalization
and ^cc++++=and
its ^pp$+it+++=its
confinements ^vbz+++??+=confinements
come ^vprf+++xvbn+=come
in ^in++++=in
many ^ap++++=many
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
attention ^nn++++=attention
to ^in++++=to
relationships ^nns++++=relationships
of ^in++++=of
unfreedom ^nn+++??+=unfreedom
also ^rb++++=also
reveals ^vbz+vprv+++=reveals
forms ^nns++++=forms
of ^in++++=of
consciousness ^nn++++=consciousness
that ^tht+ncmp+++=that
resolve ^nn++++=resolve
into ^in++++=into
liberated ^jj+atrb++xvbn+=liberated
lifeways ^nns+++??+=lifeways
( ^zz++++=(
Gilmore ^np++++=Gilmore
2017 ^cd++++=2017
, ^zz++++=,
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
227 ^cd++++=227
28 ^cd++++=28;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
also ^rb++++=also
Wacquant ^np+++??+=Wacquant
2002b ^cd++++=2002b
) ^zz++++=).
. ^zz++++=EXTRAWORD
Subject ^nn++++=Subject
matter ^nn++++=matter
expands ^vbz++++=expands
or ^cc++++=or
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
can ^md+pos+++=can
disciplinary ^vb++++=disciplinary
optics ^nn++++=optics.
. ^zz++++=EXTRAWORD
