Here ^rn+pl+++=Here,
Mcdonough ^np+++??+=Mcdonough,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
low ^jj+atrb+++=low
levels ^nns++++=levels
of ^in++++=of
variation ^nn+nom+++=variation
may ^md+pos+++=may
be ^vb+be+vrb++=be
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
bottleneck ^nn++++=bottleneck
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
Indian ^jj+atrb+++=Indian
populations ^nns+nom+++=populations
in ^in++++=in
their ^pp$+pp3+++=their
recent ^jj++++=recent
evolutionary ^jj++++=evolutionary
past ^jjb++++=past
( ^zz++++=(
Smith ^np++++=Smith
and ^cc++++=and
Mcdonough ^np+++??+=Mcdonough,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Hernandez ^np+++??+=Hernandez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Kanthaswamy ^np+++??+=Kanthaswamy
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
Neanderthals ^nns+nom++??+=Neanderthals
also ^rb++++=also
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
had ^vb+hv+vrb++=had
small ^jj+atrb+++=small
population ^nn+nom+++=population
sizes ^nns++++=sizes
and ^cc++++=and
low ^jj+atrb+++=low
genetic ^jj+atrb+++=genetic
diversity ^nn+nom+++=diversity
( ^zz++++=(
Green ^np++++=Green
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Bocquet ^np+++??+=Bocquet-Appel
- ^zz++++=EXTRAWORD
appel ^nn+++??+=EXTRAWORD
and ^cc++++=and
Degioanni ^np+++??+=Degioanni,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=),
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
another ^dt++++=another
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
this ^dt+dem+++=this
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
cross ^jj++++=cross-sample
- ^zz++++=EXTRAWORD
sample ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
interesting ^jj+atrb+++=interesting
analog ^nn++++=analog
for ^in++++=for
hybridization ^nn+nom+++=hybridization
during ^in++++=during
human ^jj+atrb+++=human
evolution ^nn+nom+++=evolution.
. ^zz++++=EXTRAWORD
