Due ^jj++++=Due
terrestrial ^jj+atrb+++=terrestrial
activity ^nn++++=activity
at ^in++++=at
our ^pp$+pp1+++=our
island ^nn++++=island
study ^nn++++=study
sites ^nns++++=sites
( ^zz++++=(367
367 ^cd++++=EXTRAWORD
and ^cc++++=and
112 ^cd++++=112
events ^nns++++=events
for ^in++++=for
Jicaron ^np+++??+=Jicaron
and ^cc++++=and
Coiba ^np+++??+=Coiba,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively)
) ^zz++++=EXTRAWORD
than ^in++++=than
at ^rb++++=at
the ^ati++++=the
mainland ^nn++++=mainland
site ^nn++++=site
of ^in++++=of
Bci ^np+++??+=BCI
( ^zz++++=(17
17 ^cd++++=EXTRAWORD
events ^nns++++=events),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
despite ^in++++=despite
greatly ^rb+amp+++=greatly
reduced ^jj+atrb++xvbn+=reduced
sampling ^nn++++=sampling
effort ^nn++++=effort
at ^in++++=at
the ^ati++++=the
island ^nn++++=island
sites ^nns++++=sites
( ^zz++++=(
table ^nn++++=Table
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
