Arena ^nn++++=Arena
considered ^vpsv++agls+xvbnx+=considered
attracted ^vprf+++xvbn+=attracted
to ^in++++=to
cockroach ^nn++++=cockroach
volatiles ^nns+++??+=volatiles
if ^cs+cnd+++=if
it ^pp3+it+++=it
preferred ^vbd+++xvbn+=preferred
the ^ati++++=the
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
arena ^nn++++=arena
where ^wrb+who+++=where
the ^ati++++=the
cockroach ^nn++++=cockroach
was ^vbd+bedz+aux++=was
present ^vb++++=present.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
secondary ^jj+atrb+++=secondary
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
bioassay ^nn+++??+=bioassay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
position ^nn++++=position
of ^in++++=of
the ^ati++++=the
bug ^nn++++=bug
was ^vbd+bedz+aux++=was
noted ^vpsv++agls+xvbnx+=noted
after ^in++++=after
one ^cd1++++=one
hour ^nn++++=hour
of ^in++++=of
starting ^xvbg+++xvbg+=starting
each ^dt++++=each
experiment ^nn++++=experiment.
. ^zz++++=EXTRAWORD
A ^at++++=A
bug ^nn++++=bug
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
attracted ^vprf+++xvbn+=attracted
if ^cs+cnd+++=if
it ^pp3+it+++=it
ended ^vbd+++xvbn+=ended
next ^in+cmpx+++=next
to ^in"++++=to
the ^ati++++=the
box ^nn++++=box
where ^wrb+who+++=where
the ^ati++++=the
cockroach ^nn++++=cockroach
was ^vbd+bedz+aux++=was
present ^vb++++=present,
, ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.
. ^zz++++=EXTRAWORD
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
3 ^zz++++=3
cm ^nnu++++=cm
far ^rb+pl+++=far
from ^in++++=from
the ^ati++++=the
box ^nn++++=box.
. ^zz++++=EXTRAWORD
As ^ql++++=As
some ^dti++++=some
Belminus ^np+++??+=Belminus
individuals ^nns++++=individuals
may ^md+pos+++=may
be ^vb+be+vrb++=be
reluctant ^jj+pred+++=reluctant
to ^to+jcmp+++=to
move ^vbi++++=move
for ^in++++=for
long ^jj+atrb+++=long
periods ^nns++++=periods
( ^zz++++=(sometimes
sometimes ^rb++++=EXTRAWORD
hours ^nns++++=hours)
) ^zz++++=EXTRAWORD
after ^cs+sub+++=after
being ^nn+nn+aux++=being
manipulated ^vbd+++xvbn+=manipulated,
, ^zz++++=EXTRAWORD
insects ^nns++++=insects
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
leave ^vb++++=leave
the ^ati++++=the
circle ^nn++++=circle
after ^cs+sub+++=after
five ^cd++++=five
minutes ^nns++++=minutes
were ^vbd+bed+aux++=were
discarded ^vpsv++agls+xvbnx+=discarded
( ^zz++++=(23%).
23% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Stimuli ^nns++++=Stimuli
positions ^nns++++=positions
were ^vbd+bed+vrb++=were
interchanged ^nn+++??+=interchanged
every ^at++++=every
2 ^zz++++=2
insects ^nns++++=insects;
; ^zz++++=EXTRAWORD
the ^ati++++=the
arena ^nn++++=arena
was ^vbd+bedz+aux++=was
cleaned ^vpsv++agls+xvbnx+=cleaned
before ^in++++=before
making ^xvbg+++xvbg+=making
such ^abl++++=such
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
In ^in++++=In
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
for ^in++++=for
asymmetries ^nns+++??+=asymmetries
in ^in++++=in
the ^ati++++=the
experimental ^jj+atrb+++=experimental
setup ^nn+++??+=setup
Belminus ^np+++??+=Belminus
bugs ^nns+++??+=bugs
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
an ^at++++=an
odorless ^nns+++??+=odorless
control ^nn++++=control
trial ^nn++++=trial,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
two ^cd++++=two
empty ^jj+atrb+++=empty
boxes ^nns++++=boxes
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
the ^ati++++=the
arena ^nn++++=arena.
. ^zz++++=EXTRAWORD
each ^dt++++=Each
experiment ^nn++++=experiment
was ^vbd+bedz+aux++=was
repeated ^vprf+++xvbn+=repeated
20 ^cd++++=20
times ^nns++++=times.
. ^zz++++=EXTRAWORD
