Arena ^nn++++=Arena
cockroaches ^nn++++=cockroaches
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
a ^at++++=a
clean ^jj+atrb+++=clean
gas ^nn++++=gas-wash
- ^zz++++=EXTRAWORD
wash ^nn++++=EXTRAWORD
bottle ^nn++++=bottle
with ^in++++=with
a ^at++++=a
similar ^jj+atrb+++=similar
wet ^jj+atrb+++=wet
filter ^nn++++=filter
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
served ^vbd+++xvbn+=served
to ^to++++=to
add ^vbi+vpub+++=add
humidity ^nn++++=humidity
to ^to++++=to
match ^vbi++++=match
the ^ati++++=the
humidity ^nn++++=humidity
produced ^vwbn+++xvbn+=produced
by ^in++++=by
organic ^jj+atrb+++=organic
samples ^nns++++=samples
( ^zz++++=(Ot
ot ^nn+++??+=EXTRAWORD
lora ^nn+++??+=lora-Luna
- ^zz++++=EXTRAWORD
luna ^np++++=EXTRAWORD
and ^cc++++=and
Guerin ^np+++??+=Guerin
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air-stream
- ^zz++++=EXTRAWORD
stream ^nn++++=EXTRAWORD
passing ^vwbg+++xvbg+=passing
through ^in++++=through
the ^ati++++=the
bottles ^nns++++=bottles
was ^vbd+bedz+aux++=was
injected ^vpsv++agls+xvbnx+=injected
at ^in++++=at
150 ^cd++++=150
ml ^nnu++++=ml/min.
Bugs ^np+++??+=Bugs
walking ^vwbg+++xvbg+=walking
on ^in++++=on
the ^ati++++=the
Y ^zz++++=Y-olfactometer
- ^zz++++=EXTRAWORD
olfactometer ^nn+++??+=EXTRAWORD
were ^vbd+bed+aux++=were
stimulated ^vpsv++agls+xvbnx+=stimulated
until ^cs+sub+++=until
a ^at++++=a
response ^nn++++=response
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
< ^zz++++=<
30 ^cd++++=30
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
Flask ^nn++++=Flask
positions ^nns++++=positions
were ^vbd+bed+vrb++=were
interchanged ^nn+++??+=interchanged
for ^in++++=for
every ^at++++=every
insect ^nn++++=insect.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yolfactomenter ^np+++??+=Yolfactomenter
was ^vbd+bedz+aux++=was
cleaned ^vpsv++agls+xvbnx+=cleaned
before ^in++++=before
changing ^xvbg+++xvbg+=changing
positions ^nns++++=positions.
. ^zz++++=EXTRAWORD
In ^in++++=In
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
for ^in++++=for
asymmetries ^nns+++??+=asymmetries
in ^in++++=in
the ^ati++++=the
experimental ^jj+atrb+++=experimental
setup ^nn+++??+=setup
Belminus ^np+++??+=Belminus
bugs ^nns+++??+=bugs
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
an ^at++++=an
odorless ^nns+++??+=odorless
control ^nn++++=control
trial ^nn++++=trial,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
two ^cd++++=two
empty ^jj+atrb+++=empty
bottles ^nns++++=bottles
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested.
. ^zz++++=EXTRAWORD
In ^in++++=In
order ^vb++++=order
to ^to+vcmp+++=to
remove ^vbi++++=remove
odors ^nns+++??+=odors
from ^in++++=from
the ^ati++++=the
laboratory ^nn++++=laboratory
the ^ati++++=the
experimental ^jj+atrb+++=experimental
setup ^nn+++??+=setup
was ^vbd+bedz+aux++=was
positioned ^vpsv++agls+xvbnx+=positioned
near ^in+pl+++=near
an ^at++++=an
exhaust ^nn++++=exhaust
hood ^nn++++=hood,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
able ^jj+pred+++=able
to ^to+jcmp+++=to
exchange ^vb++++=exchange
the ^ati++++=the
air ^nn++++=air
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
15 ^cd++++=15
times ^nns++++=times
per ^nnu++++=per
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Mouse ^nn++++=Mouse
waste ^nn++++=waste
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
tested ^xvbn+++xvbn+=tested
on ^in++++=on
B ^zz++++=B.
. ^zz++++=EXTRAWORD
herreri ^nn+++??+=herreri
as ^ql++++=as
this ^dt+dem+++=this
colony ^nn++++=colony
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
large ^jj++++=large
enough ^qlp++++=enough
to ^to++++=to
provide ^vbi+vsua+++=provide
an ^at++++=an
adequate ^jj+atrb+++=adequate
number ^nn++++=number
of ^in++++=of
na ^xnot++not++=na
ve ^jj+atrb+++=ve
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
