Eleven ^cd++++=Eleven
rrt ^nn+++??+=rRT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
of ^in++++=of
nasopharyngeal ^nn+++??+=nasopharyngeal
swab ^nn++++=swab
tested ^vwbn+++xvbn+=tested
positive ^jj++++=positive
for ^in++++=for
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
nucleic ^nn+++??+=nucleic
acid ^jj++++=acid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient
underwent ^nn+++??+=underwent
a ^at++++=a
transthoracic ^nn+++??+=transthoracic
echocardiography ^nn+++??+=echocardiography
that ^tht+rel+subj++=that
revealed ^vprf+++xvbn+=revealed
normal ^jj+atrb+++=normal
findings ^nns++++=findings.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
the ^ati++++=the
rightsided ^nn+++??+=rightsided
back ^jjb+atrb+++=back
pain ^nn++++=pain
persisted ^vbd+++xvbn+=persisted
on ^in++++=on
the ^ati++++=the
second ^od++++=second
day ^nn++++=day
of ^in++++=of
rehospitalization ^nn+++??+=rehospitalization,
, ^zz++++=EXTRAWORD
Ct ^np+++??+=CT
pulmonary ^nn+++??+=pulmonary
angiography ^nn+++??+=angiography
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
showed ^vbd+vprv++xvbn+=showed
filling ^nvbg+++xvbg+=filling
defects ^nns++++=defects
in ^in++++=in
sub ^nn++++=sub-segmental
- ^zz++++=EXTRAWORD
segmental ^nn+++??+=EXTRAWORD
arterial ^jj+atrb+++=arterial
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
posterior ^jj+atrb+++=posterior
basal ^jj+atrb+++=basal
segment ^nn++++=segment
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
lower ^jjr+atrb+++=lower
lobe ^nn+++??+=lobe,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
acute ^jj+atrb+++=acute
Pe ^np+++??+=PE
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1c ^cd++++=1C
and ^cc++++=and
Figure ^nn++++=Figure
1d ^cd++++=1D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
peripheral ^jj+atrb+++=peripheral
lung ^nn++++=lung
opacity ^nn+++??+=opacity
with ^in++++=with
reversed ^jj+atrb++xvbn+=reversed
halo ^nn++++=halo
sign ^nn++++=sign
and ^cc++++=and
central ^jj+atrb+++=central
lucencies ^nns+++??+=lucencies,
, ^zz++++=EXTRAWORD
compatible ^jj++++=compatible
with ^in++++=with
pulmonary ^nn+++??+=pulmonary
infarction ^nn++++=infarction,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+aux++=be
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
this ^dt+dem+++=this
examination ^nn++++=examination
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1e ^cd++++=1E).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dualenergy ^np+++??+=Dualenergy
Ct ^np+++??+=CT
color ^nn+++??+=color-coded
- ^zz++++=EXTRAWORD
coded ^vbd+++xvbn+=EXTRAWORD
iodine ^nn+++??+=iodine
perfusion ^nn+++??+=perfusion
map ^vb++++=map
revealed ^vbd+vprv++xvbn+=revealed
only ^rb+down+++=only
a ^at++++=a
focal ^jj+atrb+++=focal
iodine ^nn+++??+=iodine
defect ^nn++++=defect
in ^in++++=in
the ^ati++++=the
posterior ^jj+atrb+++=posterior
basal ^jj+atrb+++=basal
segment ^nn++++=segment
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
lower ^jjr+atrb+++=lower
lobe ^nn+++??+=lobe,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
pulmonary ^nn+++??+=pulmonary
infarction ^nn++++=infarction
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1f ^cd++++=1F).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
lupus ^nns+++??+=lupus
anticoagulant ^nn++++=anticoagulant
testing ^vwbg+++xvbg+=testing
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
positive ^jj++++=positive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated
with ^in++++=with
a ^at++++=a
full ^jj++++=full-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
anticoagulant ^nn++++=anticoagulant
drug ^nn++++=drug
( ^zz++++=(subcutaneous
subcutaneous ^nns+++??+=EXTRAWORD
enoxaparin ^nn+++??+=enoxaparin)
) ^zz++++=EXTRAWORD
and ^cc++++=and
antibiotics ^nns++++=antibiotics
( ^zz++++=(azithromycin
azithromycin ^nn+++??+=EXTRAWORD
and ^cc++++=and
piperacillin ^nn+++??+=piperacillin/tazobactam).
He ^pp3a+pp3+++=He
showed ^vbd+vprv++xvbnx+=showed
clinical ^jj++++=clinical
and ^cc++++=and
laboratory ^nn++++=laboratory
improvement ^nn++++=improvement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
discharged ^vpsv++agls+xvbnx+=discharged
in ^in++++=in
good ^jj+atrb+++=good
general ^jj+atrb+++=general
condition ^nn++++=condition
after ^in++++=after
4 ^zz++++=4
days ^nns++++=days
of ^in++++=of
full ^jj+atrb+++=full
anticoagulation ^nn++++=anticoagulation,
, ^zz++++=EXTRAWORD
with ^in++++=with
rivaroxaban ^nn++++=rivaroxaban
prescribed ^vwbn+++xvbn+=prescribed
for ^in++++=for
home ^nr++++=home
use ^nn++++=use.
. ^zz++++=EXTRAWORD
