Blank ^jj+atrb+++=Blank
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
indeterminate ^jj++++=indeterminate
1 ^zz++++=1
3.2 ^cd++++=3.2
Subtotal ^np+++??+=Subtotal,
, ^zz++++=EXTRAWORD
blades ^nns++++=blades
31 ^cd++++=31
100 ^cd++++=100
Core ^nn++++=Core,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
orthogonal ^jj++++=orthogonal
3 ^zz++++=3
27.3 ^cd++++=27.3
Core ^nn++++=Core,
, ^zz++++=EXTRAWORD
Levallois ^np+++??+=Levallois
unidirectional ^nn+++??+=unidirectional
2 ^zz++++=2
18.2 ^cd+date+++=18.2
Core ^nn++++=Core,
, ^zz++++=EXTRAWORD
Kombewa ^np+++??+=Kombewa
1 ^zz++++=1
9.1 ^cd++++=9.1
Core ^nn++++=Core,
, ^zz++++=EXTRAWORD
opportunistic ^nn+++??+=opportunistic
3 ^zz++++=3
27.3 ^cd++++=27.3
Core ^nn++++=Core,
, ^zz++++=EXTRAWORD
indeterminate ^jj+atrb+++=indeterminate
fragment ^nn++++=fragment
3 ^zz++++=3
27.3 ^cd++++=27.3
Subtotal ^np+++??+=Subtotal,
, ^zz++++=EXTRAWORD
cores ^nns++++=cores
11 ^cd++++=11
100 ^cd++++=100
Chunks ^np+++??+=Chunks
145 ^cd++++=145
100 ^cd++++=100
Hammerstone ^np+++??+=Hammerstone
1 ^zz++++=1
100 ^cd++++=100
Biface ^np+++??+=Biface
And ^cc++++=and
Bifacial ^nn++++=bifacial
Pieces ^nns++++=pieces
 ^zz++++=3
00 ^cd++++=100
Grand ^jj++++=Grand
Total ^jj++++=total
136 ^cd++++=1136
00 ^cd++++=100
