Since ^cs+sub+++=Since
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
, ^zz++++=,
2015 ^cd++++=2015
) ^zz++++=)
displays ^nns++++=displays
the ^ati++++=the
same ^ap++++=same
dental ^jj+atrb+++=dental
wear ^nn++++=wear
features ^nns++++=features
( ^zz++++=(same
same ^ap++++=EXTRAWORD
morphology ^nn++++=morphology
and ^cc++++=and
distribution ^nn++++=distribution)
) ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
permanent ^jj+atrb+++=permanent
and ^cc+phrs+++=and
deciduous ^jj+atrb+++=deciduous
teeth ^nns++++=teeth
( ^zz++++=(number,
number ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
depends ^vbz++++=depends
on ^in++++=on
tooth ^nn++++=tooth
type ^nn++++=type).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
features ^nns++++=features
were ^vbd+bed+vrb++=were
also ^rb++++=also
comparable ^jj+pred+++=comparable
to ^in++++=to
the ^ati++++=the
features ^nns++++=features
from ^in++++=from
the ^ati++++=the
adult ^jj+atrb+++=adult
individuals ^nns++++=individuals
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
group ^nn++++=group
( ^zz++++=(
Estalrrich ^np++++=Estalrrich
and ^cc++++=and
Rosas ^np+++??+=Rosas,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
, ^zz++++=,
2015 ^cd++++=2015
) ^zz++++=)
and ^cc++++=and
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
marks ^nns++++=marks
broadly ^rb+down+++=broadly
described ^vbd+++xvbn+=described
for ^in++++=for
Neanderthals ^np+++??+=Neanderthals
And ^cc++++=and
Other ^ap++++=other
Hominins ^nns++++=hominins
From ^in++++=from
Archaeo ^nn++++=archaeo-paleontological
 ^zz++++=EXTRAWORD
Paleontological ^nn++++=EXTRAWORD
Samples ^nns++++=samples.
 ^zz++++=EXTRAWORD
