Two ^cd++++=Two
18 ^cd++++=18
of ^in++++=of
150 ^cd++++=150
participants ^nns+nom+++=participants
( ^zz++++=(12%)
12 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
received ^vbd+++xvbn+=received
Ad26.cov2.s ^np+++??+=Ad26.COV2.S,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
22 ^cd++++=22
of ^in++++=of
153 ^cd++++=153
participants ^nns+nom+++=participants
( ^zz++++=(14%)
14 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
received ^vbd+++xvbn+=received
Bnt162b2 ^np+++??+=BNT162b2
( ^zz++++=(Tables
tables ^nns++++=EXTRAWORD
S4 ^np+++??+=S4,
, ^zz++++=EXTRAWORD
S5 ^np+++??+=S5,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S6 ^np+++??+=S6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
adverse ^jj+atrb+++=adverse
events ^nns++++=events
were ^vbd+bed+vrb++=were
mild ^jj+pred+++=mild
or ^cc+phrs+++=or
moderate ^jj++++=moderate.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
participants ^nns+nom+++=participants
had ^vb+hv+vrb++=had
severe ^jj+atrb+++=severe
adverse ^jj+atrb+++=adverse
events ^nns++++=events
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
deemed ^vpsv++by+xvbnx+=deemed
by ^in++++=by
the ^ati++++=the
investigators ^nns++++=investigators
to ^to++++=to
be ^vbi+vbi+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
a ^at++++=a
trial ^nn++++=trial
vaccine ^nn++++=vaccine:
: ^zz++++=EXTRAWORD
in ^in++++=in
1 ^zz++++=1
participant ^nn+nom+++=participant
with ^in++++=with
vomiting ^nn++++=vomiting
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
mrna ^nn+++??+=mRNA-1273
- ^zz++++=EXTRAWORD
1273 ^cd++++=EXTRAWORD
( ^zz++++=(group
group ^nn++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
3 ^zz++++=3
participants ^nns+nom+++=participants
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
Ad26.cov2.s ^np+++??+=Ad26.COV2.S
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
with ^in++++=with
vomiting ^nn++++=vomiting
and ^cc++++=and
1 ^zz++++=1
with ^in++++=with
fatigue ^nn++++=fatigue
in ^in++++=in
group ^nn++++=group
5 ^zz++++=5
and ^cc++++=and
1 ^zz++++=1
with ^in++++=with
an ^at++++=an
abnormal ^jj+atrb+++=abnormal
feeling ^nn+nom+++=feeling
and ^cc++++=and
insomnia ^nn++++=insomnia
in ^in++++=in
group ^nn++++=group
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
