Having ^xvbg+++xvbg+=Having
Staff ^nn++++=Staff
interpersonal ^nn+nom+++=interpersonal
skills ^nns++++=skills
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
3 ^zz++++=3
% ^zz++++=%
Facilities ^nns+nom+++=Facilities
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
Aftercare ^np+++??+=Aftercare
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
Delayed ^vbd+++xvbn+=Delayed/missed
diagnosis ^nn++++=diagnosis
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
System ^nn++++=System
and ^cc++++=and
administration ^nn+nom+++=administration
11 ^cd++++=11%
% ^zz++++=EXTRAWORD
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
Treatment ^nn+nom+++=Treatment
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
given ^jj+atrb++xvbn+=given
sufficient ^jj+atrb+++=sufficient
time ^nn++++=time
at ^in++++=at
appointments ^nns+nom+++=appointments
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
Staff ^nn++++=Staff
technical ^jj+atrb+++=technical
competence ^nn+nom+++=competence
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
Parking ^nvbg+++xvbg+=Parking
facilities ^nns+nom+++=facilities
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
food ^nn++++=Food
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
